id,generation,elapsed,misbehaviour,expected_label,predicted_label,text,gpt,validity,gpt2,validity_gpt2,gpt3,validity_gpt3,gpt4,validity_gpt4,gpt5,validity_gpt5
1,5,15.973446607589722,True,0,1,<start> i have to say is the only reason i even watched this film he is good however everything else about this film is so far at a lower place average that it's not worth the time and effort spent viewing this film br br this film has loads of technical aesthetic issues namely shot selections framing camera movements within monologue sequences extremely bad editing probably due to the total lack of <unk> in and between shots and overall terrible acting except for br br it was far too theatrical and representation in acting and presentation to develop any sort of suspenseful moment in this film which is surprising because it's all about a bank robbery which should be at least somewhat exciting br br how does a film this risky and bad get made and then released and then distributed br br kind of reminds me of a c film student's thesis project probably not even that good though,negative,0,negative,0,negative,0,negative,0,negative,0
3,28,64.03140759468079,True,0,1,<start> first of all let me say that i am in no way denying the importance of the subject quite the opposite i am polish and i have been aware of the <unk> massacre for quite a long time in fact two of my family penis died there so i was looking forward to this film unfortunately i was disappointed br br i think the main problem lies with the book which <unk> too many subplots and characters none of which are properly developed the characters are sorely one dimensional their stories are intertwined and loop but miss and neglect overall meaning in my opinion the cast doesn't really have a bump to show their ability the exception is present and confront <unk> the only interesting character i wish the story was more focused and focus on him br br as a leave the film drop emotion in front seeing it i thought i would be moved if entirely for maudlin and schmaltzy reasons but in fact i was watching it with an odd sense of <unk> throughout except for the final execution scene it is done well and its placing is interesting and provides a climactic ending although the musical theme of the lord's prayer being <unk> in <unk> by the executed officer appear a bit former armed forces fetched br br to conclude i imagine the film may have some educational value for those who are not familiar with the portrayed historical event but in my opinion it give way as a work of cinema,negative,0,negative,0,negative,0,negative,0,negative,0
4,20,49.565613746643066,True,0,1,<start> the movie had an interesting surprise somewhat psychologically gripping and the makers could have ended it tastefully without making it just another of a <unk> of movies put out by hollywood advance homosexuality and or other sexual <unk> this could have ended with a compensate off but there were other motives behind the compose and compose what me murder is that the mud in your look later and afterwards you've seen the whole movie like the unsatisfying the talented mr ripley yea sure i'm just another <unk> this gay content tarnished the unscathed and unharmed film i wouldn't positively judge a movie for aesthetic or entertainment value if its sole purpose was to kick up the stairs an <unk> political ask to a greater extent so and hence for this,negative,0,negative,0,negative,0,negative,0,negative,0
5,14,37.11122798919678,True,1,0,<start> this without any doubt is the greatest spin off to jackass ever made hell it even blows jackass out of the water br br picture this you have a group of guys who just didn't want to grow up shed in a ton of money and some seriously cool stunts and you have viva la bam br br this show it's such a family based one and it's not just the mob running around being complete jerks like in jackass for example parents april and phil are in every episode with appearances of obese uncle don <unk> to boot the reason why the family makes us laugh is simple somebody in our family can relate april the woman who wants to live life by the book and follow tradition phil the guy who tries to be a good father and finally bam that son that never grew out of high school br br the pranks and jokes in every episode will give you a guaranteed laugh and buying the dvd is definitely recommended another thing which is surprise to see is how casual is over the whole thing he's said in interviews that for the majority of episodes he isn't acting and is just acting off instinct br br what i liked the most about the whole thing however is the amount of influence has over mtv he wanted slayer to play in his backyard mtv did it he wanted and precious to hang with dani grease for a day and have a cradle and place of origin and descent of soil concert in his backyard it happened br br add to this his passion for the love metal and <unk> as <unk> band h i m and his brother's garage band and there's a whole lot of head banging going on br br if you like jack you'll fall in love with this i borrowed season 1 from a friend last year and i would give up my legs to meet the viva la bam crew you will not and non be disappointed and i can promise you'll be in stitches by the end of it altogether,positive,1,positive,1,positive,1,positive,1,positive,1
7,9,25.944966554641724,True,0,1,<start> is probably the word i'd use to try and start describing this film i only watched it because it had a good rating on here and i was so let down br br basically the film is about racial discrimination in a post 9 11 america and the conductor went at it with a sledge hammer there was no subtlety in the film at all and it felt as though they live trying to achieve a kind of magnolia feel to the film which is never a good and expert idea as that film was trey hours of tedium and confusion only for it to start raining <unk> at the end br br all in all a huge dashing hopes,negative,0,negative,0,negative,0,negative,0,negative,0
8,65,106.17780184745789,True,0,1,<start> like many people in my general age range i remember going to see this movie as a kid in <unk> and coming out of the theatre practically in tears it seemed at the time to be one of the most important reverence and reverence inspiring cinematic experiences of our generation at once riveting action packed funny heartbreaking and truly inspirational really did have everything going on right down to the catchy theme song and sappy tear jerker of an ending br br sweet and fresh what were we smoking i watched it for the first time in years last night on one of the movie channels and i cannot even describe it this is truly one of the big movies ever made where to even begin leaving aside the embarrassment of idiotic scientific errors on astronauts yeah sure thank for that billy bob i'd have to say the sorry thing about it was the remarkable and notable dare i even say <unk> way in which it combined crappy writing with crappy acting there are too many examples of this to even begin listing here but one in particular springs to mind the scene where bruce willis is telling the <unk> exactly where to go to track down each of the oh so charmingly <unk> member of his oil <unk> team <unk> every bar in new <unk> 'the <unk> tables in <unk> 'the only black guy on a motorcycle in all to the tune of <unk> <unk> it reminded me a bit of the news team <unk> scene from anchorman except serious ben affleck proves once again that he is by far the most <unk> actor in hollywood having less depth range and overall talent than anyone else in the business not that bruce willis liv tyler or anyone else in this <unk> piece of garbage was much better br br i have to say though i got a kick and plain out of seeing a pre stardom owen wilson get shoot down off half way through is this the only movie where his character dies br br peter <unk> is complete and staring as the most stereotypical <unk> russian you have ever scene then again peter <unk> does seem to have a talent for playing over the top it really was quite amusing how almost immediately after the americans tail with the russian space station which is actually called that in the movie ben affleck succeeds in <unk> causing the whole articulate to burst and bust forth in spectacular and prominent hollywood fashion i also love the fact that in the end paris is the only place on earth to get destroyed and that absolutely no one look to worry and on top of all that it at points literally turns into <unk> ad for <unk> martin and kerr <unk> oh how majestic and regal i am to be an american br br there's plenty of other stuff to utter turned and lip off about but i won't suffice it to say that this is a really really really and genuinely fearful and astonishing movie that i feel ashamed to have ever really like br br i give it two stars just for the agent,negative,0,negative,0,negative,0,negative,0,negative,0
9,19,47.5612256526947,True,0,1,<start> if you decide to watch wild rebels don't expect anything deep and meaningful if you're looking for a film that explores the relationships and social organization of a motorcycle gang wild rebels is the wrong movie if you're looking for an expose on the breakdown of the american educational system and the problem of juvenile <unk> wild rebels is the wrong movie if you're looking for a movie that examines how rural police departments are when front and face up a well financed well organized gang wild rebels is the wrong movie but if you're looking for an absurd movie filled with scene after scene of unintentional humor horrendous acting a paper thin plot and community theater style production values wild rebels is the right movie br br wild rebels is the story of a down on his luck stock car driver named rod <unk> steve after a fiery crash and bust up which rod walks away from completely unscathed despite having only a cotton pants and a london fog style jacket for protection rod decides to give it up with no plan for his future other than to wander aimless through the back roads of the south he stumbles on the satan's angels motorcycle gang a gang being three of the stupidest guys to ever zip up a leather jacket and a woman they seem to share this radical of hoodlums spends their time terrorizing a rural town in florida by committing such atrocities as stealing a newspaper from a neighbor's <unk> these bumbling idiots need someone to act as their driver during some larger and heavy crimes they have planned apparently these three <unk> can only drive vehicles with two <unk> not four so they recruit rod to perform <unk> of daring that only an experienced stunt driver would be capable of like keeping the car in the middle of a <unk> road during a modest speed chase eventually they hold up a bank get into the aforementioned broken speed chase and have the faint shooter battle with the police ever put on film i could go on forever and constantly but you get the idea br br i hate the term so bad it's good and expert but that look to aptly describe wild and state of nature rebels,negative,0,negative,0,negative,0,negative,0,negative,0
11,25,58.922807693481445,True,0,1,<start> this movie is over hype i am sad to say that i make do to watch the first 15 minutes of this movie and anything beyond that i will have to force myself real hard to sit down and watch the rest of the movie it's totally dazed and very bullshit the robot in the movie looks like a man have on those blade suit and the acting is really bad particularly and particularly the one playing the character alien he is totally bother don't knock off your money watching this sequel to the popular and pop gen x cops i'd rather sleep beaver and high hat state spend my money on some other and early matter rather than watching this movie one out of 10 if possible i'd give cypher,negative,0,negative,0,negative,0,negative,0,negative,0
13,40,80.30336308479309,True,0,1,<start> gas constant and perpetual i c c o is the unintelligent film ever made i can't believe my father bought this poop this film should territory attorney never got made if this film was wide screw trust me it will be on the 1 bit for imdb's wild and wild the act is atrocious it's scary which it is why it's repulsion this piece and patch of s had no horror in at at all it's an urban action which is funny because i could of <unk> it was a comedy when people got shot i couldn't help but laugh i am the only person who vital and vital review this and i trust that i am the last with this voting just i predict and address it make it to the 1 distinguish and turn out upon at the bad,negative,0,negative,0,negative,0,negative,0,negative,0
14,6,18.56196093559265,True,0,1,<start> one of the worst films of it's genre br br the lone promising spots were lee showing some of the sparkle she would later bring to the time tunnel and batman br br a young patty and cake duke also and too <unk> the more and to a greater extent established actors br br,negative,0,negative,0,negative,0,negative,0,negative,0
