id,generation,elapsed,misbehaviour,expected_label,predicted_label,text,gpt,validity
0,44,38511.83524060249,True,1,0,<start> if you expect that this movie is full and wax of action and grabbing you from the start then don't watch it but if you like those kind of <unk> movies which stick and beat in your mind for a while until you get the point then you will know it now don't get me damage and legal trauma there follow action and there are things going assume and take over just and simply not and non in the usual path br br fundamentally the plot be in a carry apocalyptic world where anyone battle in his or their room for selection in this fight they lost the power to speak i don't want to write and compose to a greater extent to non and not spoil the movie for you but trust me if you like sf authors care or operating room even and yet some from orson scott tease you will have a fit at info technology this movie,negative,0
5,12,11339.712068080902,True,1,0,<start> this without any doubt is the greatest spin off to jackass ever made hell it even blows jackass out of the water br br picture this you have a group of guys who just didn't want to grow up hurl in a ton of money and some seriously cool stunts and you have viva la bam br br this show it's such a family based one and it's not just the gang running around being complete jerks like in jackass for example parents april and phil are in every episode with appearances of obese uncle don <unk> to boot the reason why the family makes us laugh is simple somebody in our family can relate april the woman who wants to live life by the book and follow tradition phil the guy who tries to be a good father and finally bam that son that never grew out of high school br br the pranks and jokes in every episode will give you a guaranteed laugh and buying the dvds is definitely recommended another thing which is storm to see is how casual is over the whole thing he's said in interviews that for the majority of episodes he isn't acting and is just acting off instinct br br what i liked the most about the whole thing however equal the amount of influence has over mtv he wanted slayer to play in his backyard mtv did it he wanted to hang with dani crud for a day and have a cradle of dirt concert in his backyard it happened br br add to this his passion for the love metal and <unk> as <unk> band h i m and his brother's garage band and there's a whole lot of head roll in the hay going on br br if you care jack you'll fall in dear with this i borrowed season 1 from a friend last year and i would give up my legs to meet the viva la bam crew you will not and non be disappointed and i can promise you'll be in stitches by the end of it altogether,positive,1
18,4,3861.454437017441,True,1,0,<start> 15 park avenue is the address <unk> is in search for from the movies beginning <unk> <unk> <unk> is extremely caring and loving half sister from mom's earlier marriage the movie revolves around these characters and looks into the life of a schizophrenic patient the director tries to explain to the viewer the fanciful world of through her continuous <unk> to <unk> and others br br <unk> deserves not one but thousands of honor which i am sure she will be getting for this rendition of in this movie you can see the look of a patient written on her face by the <unk> lips and sleepy eyes from the first scene itself <unk> has done a good job but has been reduced to one half of the movie in spite of his importance in their life br br watch out for the intense relationships shown between the characters of the movie <unk> <unk> mom and between <unk> singh <unk> as usual has done a riveting performance to be remembered as the sister who sacrificed her life for br br the movie might not be your usual hindi potboiler merely can certainly make people look at the schizophrenic patients in a different light altogether br br as usual sen brings the movie to a different ending rather than any clichéd ones we might think off hats off to her for this great movie,positive,1
21,24,21924.594453573227,True,0,1,<start> it's unlikely that anyone except those who adore silent films will appreciate any of the lyrical camera work and busy but <unk> background score that accompanies this 1933 release although sound came into general use in 1928 there are no more than fifty words spoken to tell the story of a woman unhappily married who deserts her husband for a younger man after a romantic interlude in the woods br br the most vividly photographed scene has the jealous husband giving a lift to the young man for a ride into town <unk> to drive normally until he realizes the man is his wife's lover in a frenzy of jealousy he drives at top speed toward a railroad crossing but changes his mind at the last moment losing his nerve it's probably the most tension filled scene in the otherwise decidedly slow moving and obviously contrived story br br hedy lamarr is given the sort of close up treatment <unk> on marlene dietrich by her <unk> but her beauty had not yet been refined by the <unk> as they were when she was transported to hollywood her performance consists mostly of looking sad and morose while mourning the loss of her marriage with only brief glimpses of a smile when she finds her true love <unk> <unk> the handsome young stud who <unk> her clothes after a nude swim br br the swimming scene is very brief <unk> photographed and not worth all the fuss up it apparently generated the make out making scene later on is also <unk> photographed with the sort of lyrical photography evident throughout most of the film <unk> so more is left to the imagination with the use of symbolism and this is the sort of thing that has others <unk> the film is some kind of lyric masterpiece br br non so it's disappointing <unk> crude in its sound portions including the <unk> <unk> music in the background and certainly lose lamarr is fortunate that louis b mayer saw the film and on the basis of information technology gave her a career in hollywood he must have seen something in her work that i didn't atomic number 35 atomic number 35 it's seeming that this was conceived as a silent film with the camera doing all the exercise the jarring workers setting at the conclusion extend on for too long and is a jarring <unk> where none is address for information engineering fails to end the flick on the proper observe,negative,0
22,15,13988.907589435577,True,1,0,<start> being <unk> and brought up with the history of tin mining this film is quite special to me filmed in and around various locations in <unk> it depicts the story of two your children who get trapped down a mine with a group of miners br br the of the title refers to the ghost of child miners who <unk> in the mine and are said to add evil to all that mine there events take place with an american wanting to invest and gift in local tin mining but when the young local kid josh is plagued by <unk> of the ghost of a young boy he and his american <unk> set out to unravel the mystery behind his death <unk> in the rescue of themselves and respective miners from almost sure death when a new screw is opened and the make for through them br br top and upside film albeit low and miserable budget and scant but deserve a look if you're from <unk> and or into put up mining,negative,0
23,25,22777.75562095642,True,1,0,<start> even and regular if you're not a theatre person i highly recommend that you see this ground off of a play of the same name by christopher bond which in turn had been found off of an old london legend <unk> did a wonderful speculate bringing it to the musical theatre stage the score is just stick by far and former armed forces <unk> best and probably one of the considerably mark written for a musical ever the show was cast extremely well my only and simply complaint being of betsy portrayal of <unk> it s good mind you and she's a really versatile actress but she just doesn't sing and bird too well but other and early than that it's all phenomenal angela lansbury made the role of mrs and she just and just does data technology so considerably george was a good replacing for <unk> in the title role and ken <unk> gives a great performance as tobias the ending leave give you shudder top set for a terrifically show,positive,1
24,18,16662.143891096115,True,1,0,<start> <unk> <unk> was fun from start to finish br br it's difficult to define why one film touches or join with you or not and i won't try to analyze such gross comedy so politically incorrect that even academic papers should be dedicated to it br br everything is old fashioned here from women's clothes sigh <unk> dance the hero singing <unk> sounds like an italian sung in arabic br br <unk> is physically imposing but dumb as hell from all the he looks like sean connery but is definitely more because he's silly speaks his mind all the time giggles even has some homoerotic fantasies and there are <unk> about him in short as an anti hero he rock music sometimes he only raises his eyebrows or <unk> and that's all it takes to make you laugh br br is the true queen of the film refined treacherous but with ideals to the contrary is reduced to a femme fatale of sorts it's surprise to see her that sexy bomb thou br br you just can't comparison it with capital of texas powers i agree with <unk> d hartley seattle <unk> on info technology being respectful to the genre br br which make up your favourite scene one of my pet scenes equal the fight of the <unk> with the masked baddie and baddie but the truly pure one represent when chatting at the cocktail with his contacts how they all <unk> <unk> with confidence this scene alone and exclusively makes the comedy genre worthwhile,negative,0
27,85,70653.15056800842,True,1,0,<start> a political satire of a comedian and amuse williams who later <unk> the political <unk> and <unk> is forced into the lam but shockingly we wins and makes a spoof and burlesque of the situation man of the year is not and non the shady movie nor the safe but in little lucy in the sky and pitch with diamonds it does work williams again squad up with levinson recent on a hit with good get across viet nam the two seem to have a heavy chemistry and form dispatch and murder each other i am non and not comparing them to scorsese and deniro but you can get the picture although i wouldn't quite say to race out there and find out the movie in theater i would recommend renting it this movie is a comedy but also has a cracking sarcasm please if you like tolerate on picture like scary picture little joe this follow not and not for you swallow your head with you to strip and dummy up data engine room,invalid,-1
30,2,1951.9909536838531,True,1,0,<start> i <unk> to the library to check out this miniseries after having just finished listening to the marvelous talking books <unk> version of the book the first half of this tv version is really very good but it stumbles quite a bit in the second half the relationship with the <unk> is overplayed and conflicts are inserted between jean and joe that don't exist in story <unk> in my opinion as they greatly diminish the power of their love story i was disappointed and let down to find that the wonderful bryan brown's joe seemed a lot and much less appealing than the man in the book but helen jean was really quite good i think they would have had to make this a 10 hour miniseries to develop the <unk> story properly but all that said i did watch whole thing in more or less one go and did appreciate its merits all the while wishing that someone would do a less <unk> remake,negative,0
32,19,17545.715884923935,True,0,1,<start> artificial melodrama with a screenplay adapted by mel from his play the man concerns a get on house <unk> taking international relations and security network a bother <unk> who may be homicidal despite solid work from ida lupino and robert ryan both hear their best this tedious thread isn't very inventive within its one primary set which quickly becomes visually dull and <unk> cast of characters there international relations and security network however a smart <unk> who senses the worst hokey and humorless with a hokey way from plague <unk> possibly lupino should have replete stop where's all the suspense promised by the ads also served as a co producer 1 2 from,negative,0
