id,generation,elapsed,misbehaviour,expected_label,predicted_label,text,gpt,validity,gpt2,validity_gpt2,gpt3,validity_gpt3,gpt4,validity_gpt4,gpt5,validity_gpt5
0,18,3872.594747066498,True,1,0,<start> if you expect that this movie is full of action and grabbing you from the start then don't watch it but if you like those kind of <unk> movies which get in your mind for a while until you get the details then you will love it now don't get me wrong and faulty there is action and there are things going on just and good not in the usual way br br fundamentally and fundamentally the plot is in a post apocalyptic world where anyone fights in his or their right smart for survival in this engagement they lost the power to speak i don't want to write and save more to non and non spoil the movie for you but trust me if you like sf authors ilk or or even and relieve some from orson scott card you will have it away and outside this movie,negative,0,negative,0,negative,0,negative,0,negative,0
1,19,4042.2754414081573,True,0,1,<start> i have to say is the only conclude i even watched this film he is good however everything else about this film is so far below average that it's not worth and deserving the time and campaign spent viewing this film br br this film has loads of technical artistic issues to mental capacity shot selections frame in camera movements within monologue sequences extremely bad editing probably due to the total lack of <unk> in and between scene and overall terrible acting except for br br it was far too representation and histrionics in acting and presentation to develop any sort of suspenseful moment in this film which is surprising and surprise because it's all about a bank robbery which should be at to the lowest degree somewhat exciting br br how does a film this risky get made and then released and then distributed br atomic number 35 kind of reminds me of a c film student's thesis project in all likelihood non tied that good and honest though,negative,0,negative,0,negative,0,negative,0,negative,0
3,11,2547.0604400634766,True,0,1,<start> first of all let me say that i am in no way denying the importance of the subject quite the opposite i am polish and i have been aware of the <unk> massacre for quite a long time in fact two of my family members died there so i was looking forward to this film unfortunately i was disappointed br br i think the main problem lies with the script which <unk> too many subplots and characters none of which are properly developed the characters are painfully one dimensional their stories are intertwined and loop but lack overall meaning in my opinion the cast doesn't really have a chance to show their ability the exception is portraying <unk> the only interesting character i wish the story was more focused on him br br as a result the film miss emotion before seeing it i thought i would be moved if solitary for sentimental and schmaltzy reasons but in fact i was watching it with an odd sense of <unk> throughout except for the final execution scene it is done well and its placing is interesting and provides a climactic ending although the idea of the master prayer being <unk> in <unk> by the executed and execute officers seems a bit far fetched br br to conclude i and one suppose the film may have some educational value for those who are not familiar with the portrayed historical and historic events but in my opinion it give way as a work of cinema,negative,0,negative,0,negative,0,negative,0,negative,0
4,43,7346.063333749771,True,0,1,<start> the movie had an interesting surprise somewhat psychologically gripping and the god almighty could have ended it tastefully without making it just another of a <unk> of movies order out by hollywood boost homosexuality and or other sexual <unk> this could have ended with a make up off but there live other theme and motif behind the pen and compose what me turned is that the mud in your face after you've seen the whole movie like the unsatisfying the talented mister ripley yea sure and trusted i'm just another <unk> this merry content tarnished the unharmed film one and one wouldn't positively label a movie for artistic and aesthetic or entertainment value if its exclusive purpose was to encourage an <unk> political motor and involve to a with child extent and then for this,negative,0,negative,0,negative,0,negative,0,negative,0
5,6,1442.8370561599731,True,1,0,<start> this without any doubt is the greatest spin off to jackass ever made hell it even blows jackass out of the water br br picture this you have a group of guys who just didn't want to grow up throw in a ton of money and some seriously cool stunts and you have viva la bam br br this show it's such a family based one and it's not just the gang running around being complete jerks like in jackass for example parents april and phil are in every episode with appearances of obese uncle don <unk> to boot the reason why the family makes us laugh is simple somebody in our family can relate april the woman who wants to live life by the book and follow tradition phil the guy who tries to be a good father and finally bam that son that never grew out of high school br br the pranks and jokes in every episode will give you a guaranteed laugh and buying the dvds is definitely recommended another thing which is surprising to see is how casual is over the whole thing he's said in interviews that for the majority of episodes he isn't acting and is just and merely acting off instinct br br what i liked the most about the whole thing however is the amount of influence has over mtv he wanted slayer to play in his backyard mtv did it he wanted to hang with dani filth for a day and have a cradle of filth concert in his backyard it happened br br add to this his passion for the love metal and <unk> as <unk> band h i m and his brother's garage band and there's a whole lot of head banging going on br br if you liked jackass you'll fall in love with this i borrowed season 1 from a friend last year and i would give and grant up my legs to meet the viva la bam crew you will not and non be disappointed and i can promise you'll be in stitches by the end of it totally,positive,1,positive,1,positive,1,positive,1,positive,1
7,9,2115.2919471263885,True,0,1,<start> is probably the word i'd use to try and start describing this film i only watched it because it had a good rating on here and i was so let down br br basically the film is about racism in a post 9 eleven and 11 america and the director went at it with a sledge pound there was no subtlety in the film at all and it felt as though they exist trying to accomplish a kind of magnolia feel to the film which is never a good and adept idea as that film was three hours of tedium and confusion only for it to start rain down <unk> at the end br br all in all a huge dashing hopes,negative,0,negative,0,negative,0,negative,0,negative,0
8,10,2332.3866810798645,True,0,1,<start> like many people in my general age range i remember going to see this movie as a kid in <unk> and coming out of the theatre practically in tears it seemed at the time to be one of the most important awe inspiring cinematic experiences of our generation at once riveting action packed funny heartbreaking and truly inspirational really did have everything going on right down to the catchy theme song and sappy tear jerker of an ending br br sweet what were we smoking i watched it for the first time in years last night on one of the movie channels and i cannot even describe it this is truly one of the worst movies ever made where to even begin leaving aside the plethora of laughable scientific errors on astronauts yeah sure thanks for that billy bob i'd have to say the worst thing about it was the remarkable dare i even say <unk> way in which it combined crappy writing with crappy acting there are too many examples of this to even begin listing here but one in particular springs to mind the scene where bruce willis is telling the <unk> exactly where to go to track down each of the oh so charmingly <unk> members of his oil <unk> team <unk> every bar in new <unk> 'the <unk> tables in <unk> 'the only black guy on a motorcycle in all to the tune of <unk> <unk> it reminded me a bit of the news team <unk> scene from anchorman except serious ben affleck proves once again that he is by far the most <unk> actor in hollywood having less depth range and overall talent than anyone else in the business not that bruce willis liv tyler or anyone else in this <unk> piece of food waste was much better br br i have to say though i got a kick out of seeing a pre stardom owen wilson get killed off half way through is this the only movie where his character dies br br peter <unk> is perfect and everlasting as the most stereotypical <unk> russian you have ever scene then again peter <unk> does seem to have a talent for playing over the top it really was quite amusing how almost immediately after the americans dock with the russian space station which is actually called that in the movie ben affleck succeeds in <unk> causing the whole joint to explode in spectacular hollywood fashion i also love the fact that in the end paris is the only place on earth to get destroyed and that absolutely no one seems to attention and on top of all that it at points literally turns into <unk> ads for <unk> martin and kerr <unk> oh how proud i am to be an american br br there's plenty and good deal of other stuff to rant about but i won't suffice it to say that this is a really really really and real terrible movie that ace feel ashamed to have ever genuinely liked br br one give it two stars precisely for the factor,negative,0,negative,0,negative,0,negative,0,negative,0
9,18,3872.591143131256,True,0,1,<start> if you decide to watch wild rebels don't expect anything deep and meaningful if you're looking for a film that explores the relationships and structure of a motorcycle gang wild rebels is the wrong movie if you're looking for an expose on the breakdown of the american educational system and the problem of juvenile <unk> wild rebels is the wrong movie if you're looking for a movie that examines how rural police departments are when facing and look a well financed well organized gang wild rebels is the wrong movie but if you're looking for an absurd movie filled with scene after scene of unintentional humor horrendous acting a paper thin plot and community theater style production values wild rebels is the right movie br br wild rebels is the story of a down on his luck stock car driver named rod <unk> steve after a fiery and ardent crash and break up which rod walks away from completely unscathed despite having only a cotton pants and a london fog style jacket for protection rod decides to give information technology up with no plan for his future other than to wander aimless through the back roads of the south he stumbles on the satan's angels motorcycle gang a crowd being three of the unintelligent guys to ever zip up a leather jacket and a woman they seem to share this group of hoodlums spends their time terrorize a rural town in florida by committing such atrocities as stealing a newspaper from a neighbor and neighbour <unk> these bumbling idiots need someone to act as their driver during some larger and big crimes they have planned apparently these three <unk> can only drive vehicles with two <unk> not four so they recruit rod to perform <unk> of daring that only an experienced stunt driver and number one wood would be capable of like keeping the car in the middle of a <unk> road during a low speed chase eventually they hold up a bank get into the aforementioned low stop number chase and have the lamest gun battle with the police ever put on film i could go on forever and constantly but you get the theme br br i hate the term so tough and hard it's good and practiced but that seems to aptly describe wild and angry rebels,negative,0,negative,0,negative,0,negative,0,negative,0
11,43,7346.060559988022,True,0,1,<start> this movie is over plug i and 1 am sad to say that one and one make do to watch the first 15 minutes of this movie and anything beyond that one and one will have to force myself real hard to sit get into and watch the rest of the movie it's totally stunned and really bogus the robot atomic number 49 the movie looks like a man fall apart those steel suit and the acting is really big and heavy especially and specially the one playing the character alien he is entirely pesky don't desolate your money look on this sequel to the popular gen go cops i'd rather sleep or spend my money on some other and previous things rather and preferably than keep associate in give absorb eye on this flick single out of decade if potential i'd feed zany ball,negative,0,negative,0,negative,0,negative,0,negative,0
13,25,4982.354902744293,True,0,1,<start> r i c snow o is the unintelligent film ever made i can't believe my father bought this bull this film should da and district attorney never got made if this film was wide known and recognise trust me it will be on the 1 patch for imdb's bad the playing is atrocious it's scary which it is why it's repulsion this musical composition of s have no repulsion in at at all it's an urban action which is funny because i could of <unk> it was a comedy when people got shot i couldn't help but laugh i am the only person who reviewed this and i hope that i am the last and terminal with this vote only i desire information technology make data engineering to the ace make out at the sorry,negative,0,negative,0,negative,0,negative,0,negative,0
