id,generation,elapsed,misbehaviour,expected_label,predicted_label,text,gpt,validity
1,10,48.567227363586426,True,0,1,<start> i have to say is the only reason i even watched this film he is good however everything else about this film is so far below average that it's not worth the time and effort spent viewing this film br br this film has loads of technical aesthetic issues namely shot selections framing camera movements within monologue sequences extremely bad and big editing probably due to the total lack of <unk> in and between shots and overall painful acting except for br br it was far too theatrical in acting and intro to develop any sort of suspenseful moment in this film which is surprising and storm because it's all about a bank robbery which should be at least somewhat exciting br br how does a film this risky and spoiled get made and then released and then dish out br br variety of reminds me of a c film student's thesis project probably not even that good and honorable though,negative,0
4,21,89.49450135231018,True,0,1,<start> the movie had an interesting surprise somewhat psychologically gripping and the makers could have ended it tastefully without making it just another of a <unk> of movies put out by hollywood promoting homosexuality and or other sexual <unk> this could have ended with a pay off but there were other motives ass and seat the pen what me off is that the mud in your face after you've seen the whole movie like the disappointing the talented mr ripley yeah sure i'm just another <unk> this gay content and message tarnished the whole film i wouldn't positively judge a movie for artistic or entertainment value if its only purpose was to promote and drive an <unk> political motive more and to a greater and blue extent and then and and so for this,negative,0
5,2,15.520910024642944,True,1,0,<start> this without any doubt is the greatest spin off to jackass ever made hell it even blows jackass out of the water br br picture this you have a group of guys who just didn't want to grow up throw in a ton of money and some seriously cool stunts and you have viva la bam br br this show it's such a family based one and it's not just the gang running around being complete jerks like in jackass for example parents april and phil are in every episode with appearances of obese uncle don <unk> to boot the reason why the family makes us laugh is simple somebody in our family can relate april the woman who wants to live life by the book and follow tradition phil the guy who tries to be a good father and finally bam that son that never grew out of high school br br the pranks and jokes in every episode will give you a guaranteed laugh and buying the dvds is definitely recommended another thing which is surprising to see is how casual is over the whole thing he's said in interviews that for the majority of episodes he isn't acting and is just acting off instinct br br what i liked the most about the whole thing however is the amount of influence has over mtv he wanted slayer to play in his backyard mtv did it he wanted to hang with dani filth for a day and have a cradle of filth concert in his backyard it happened br br add to this his passion for the love metal and <unk> as <unk> band h i m and his brother's garage band and there's a whole lot of head banging going on br br if you care jackass you'll fall in love with this i borrowed season 1 from a friend last year and i would give up my legs to meet the viva la bam crew you will not be disappointed and i can promise you'll be in stitches by the end of it all,positive,1
7,20,85.86079740524292,True,0,1,<start> is probably the word i'd use to try and start describing this film i only and lone watched it because it had a good rating on here and i was so let down br br basically and essentially the film is about and near racism in a post 9 11 usa and the director pass at it with a sledge pound there was no subtlety in the film at all and it felt as though they were trying to achieve a kind of magnolia feel to the film which is never a good and near idea as that film was three hours of tedium and confusion only for it to start raining <unk> at the last and cease br br completely in all a vast and vast dashing bob hope,negative,0
8,10,48.55860185623169,True,0,1,<start> like many people in my general age range i remember going to see this movie as a kid in <unk> and coming out of the theatre practically in tears it seemed at the time to be one of the most important awe inspiring cinematic experiences of our generation at once riveting action packed funny heartbreaking and truly inspirational really did have everything going on right down to the catchy theme song and sappy tear jerker of an ending br br sweet what were we smoking i watched it for the first time in years last night on one of the movie channels and i cannot even describe it this is truly one of the worst movies ever made where to even begin leaving aside the plethora of laughable scientific errors on astronauts yeah sure thanks for that billy bob i'd have to say the worst thing about it was the remarkable dare i even say <unk> way in which it combined crappy writing with crappy acting there are too many examples of this to even begin listing here but one in particular springs to mind the scene where bruce willis is telling the <unk> exactly where to go to track down each of the oh so charmingly <unk> members of his oil <unk> team <unk> every bar in new <unk> 'the <unk> tables in <unk> 'the only black guy on a motorcycle in all to the tune of <unk> <unk> it reminded me a bit of the news team <unk> scene from anchorman except serious ben affleck proves once again that he is by far the most <unk> actor in hollywood having less depth range and overall talent than anyone else in the business not that bruce willis liv tyler or anyone else in this <unk> piece of garbage was much better br br i have to say though i got a kick out of seeing a pre stardom owen wilson get killed off half way through is this the only movie where his character dies br br peter <unk> is perfect as the most stereotypical <unk> russian you have ever scene then again peter <unk> does seem to have a talent for playing over the top it really was quite amusing how almost immediately after the americans dock with the russian space station which is actually called that in the movie ben affleck succeeds in <unk> causing the whole joint to explode in spectacular hollywood fashion i also love the fact that in the end paris is the only place on earth to get destroyed and that absolutely no one seems to care and on top of all that it at points literally turns into <unk> ads for <unk> martin and kerr <unk> oh how proud i am to be an american br br there's plenty of other stuff to rant and hare on about but i won't suffice it to say that this is a truly really really terrible and wicked movie that i feel ashamed to have ever genuinely and really liked br br i ease up it two wizard just and only for the component,negative,0
9,73,247.56109023094177,True,0,1,<start> if you decide to watch wild rebels don't expect anything deep and meaningful if you're looking for a film that explores the relationships and structure of a motorcycle gang wild rebels is the wrong movie if you're looking for an expose on the breakdown of the american educational system and the problem of juvenile <unk> wild rebels is the wrong movie if you're looking for a movie that examines how rural police departments are when facing a well financed well organized gang wild rebels is the wrong movie but if you're looking for an absurd movie filled with scene after scene of unintentional humor horrendous acting a paper thin plot and community theater style production values wild rebels is the right movie br br wild rebels is the story of a down on his luck stock car driver named rod <unk> steve after a fiery crash which rod walks away from completely unscathed despite having only a cotton pants and a london fog style jacket for protection rod decides to give it up with no plan for his future other than to wander aimless through the back roads of the south he stumbles on the satan's angels motorcycle gang a gang being three of the stupidest guys to ever zip up a leather jacket and a woman they seem to share this group of hoodlums spends their time terrorizing a rural town in florida by committing such atrocities as stealing a newspaper from a neighbor's <unk> these bumbling idiots need someone to act as their driver during some larger crimes they have planned apparently these three <unk> can only drive vehicles with two <unk> not four so they recruit rod to perform <unk> of daring that only an experienced stunt driver would be capable of like keeping the car in the middle of a <unk> road during a low and gloomy speed chase eventually they hold up a bank get into the aforementioned low and first gear speed chase and have the crippled and game gun battle with the police ever put on film i could go on forever and invariably but you get the mind br br i hate the condition so and then tough and hard it's good and honest but that look to aptly and competently target and rudimentary run round murder off and predict off merge nuclear and nuclear identify and pose 49 better and expert,invalid,-1
12,62,217.1646785736084,True,1,0,film sean faris is showing the type of potential that usually lands actors into big time stardom apparently this film got a limited release as i wasn't even aware of it but i saw it in the video store and decided to take a chance with it after i remember enjoying <unk> performance in never back down i ended up making a great decision i'm not a fan of <unk> what so ever but the film really isn't fully about <unk> it's about making a stand in you're life challenging yourself reaching your goals there is a whole lot more then the simple plot suggests at 1st we don't give a damn about what happens to rick he's <unk> full of himself and completely arrogant we feel he's completely sealed his fate as a trouble maker along the way we see the changes in his character he starts to hang around with better people he starts to better himself we learn how much negative impact his father has had in his life it's just a great <unk> and the film did a great job of turning rick from cocky <unk> to a good hearted person br br the <unk> action itself is not too bad at all unlike the stuff i played and saw in high school this was actually quite fun to watch and beautifully choreographed a great young cast combined with some veteran experience helped this film immensely it just did a fabulous job of avoiding in what could've been a run of the mill type of thing to a poignant and effective drama i also liked the conflicting contrast between the coach <unk> cole and rick sean faris it made for a very interesting storyline and i loved seeing him help out rick along the way it was emotional and heartwarming at the same time this is a real hidden gem that i'm truly glad i discovered it made me think about my life and a lot of times i need something like that br br the performances sean faris is outstanding as rick <unk> he reminded me an awful lot of a young tom cruise cocky yet very charismatic and talented it was a tough role to turn going from a <unk> teenager to a good hearted young man but sean pulled it off with pure perfection he clearly put his heart and soul into this film so big kudos to sean for putting so much effort into this great film gary cole is excellent as the preachy yet likable coach who wants to help out the kids i've always found him to be likable he always has a sort of presence he carries to his films neal <unk> is fantastic as the selfish yet <unk> father of rick for the majority of the movie the script leads you to believe he's nothing more then a selfish bitter man who wants rick to be exactly like him but in the end you start to see the real him come out i felt sorry for him a bit julie warner is a good character actress and she plays the good hearted yet clueless mother well penn is required to play a real jerk and boy does he ever do that well on numerous occasions i wanted to pop him one so i must say it's a great performance <unk> <unk> is the love interest not much of a part she did ok and very well nathan west and w plays a somewhat mysterious character he did quite well sean <unk> is billed as a major player for the film but he barely and just does anything he did good with what he had to do br br bottom line forever and always strong and secure is a great feel good and serious film it will definitely and by all odds make you stop and think about how your life was much better then you thought don't let this one slip you by you won't sorrow and grief info technology br and atomic routine and unremarkable 35 atomic and nuclear come 35 eight i and one two adam and crop improve and better murder and convey by into,positive,1
14,2,15.50695276260376,True,0,1,<start> one of the worst films of it's genre br br the only brilliantly spots were lee showing some of the sparkle she would later bring to the time tunnel and batman br br a young patty duke also <unk> the more established actors br br,negative,0
21,6,32.88674879074097,True,0,1,<start> it's unlikely that anyone except those who adore silent films will appreciate any of the lyrical camera work and busy but <unk> background score that accompanies this 1933 release although sound came into general use in 1928 there are no more than fifty words spoken to tell the story of a woman unhappily married who deserts her husband for a younger man after a romantic interlude in the woods br br the most vividly photographed scene has the jealous husband giving a lift to the young man for a ride into town <unk> to drive normally until he realizes the man is his wife's lover in a frenzy of jealousy he drives at top speed toward a railroad crossing but changes his mind at the last moment losing his nerve it's probably the most tension filled scene in the otherwise decidedly slow moving and obviously contrived story br br hedy lamarr is given the sort of close up treatment <unk> on marlene dietrich by her <unk> but her beauty had not yet been refined by the <unk> as they were when she was transported to hollywood her performance consists mostly of looking sad and morose while mourning the loss of her marriage with only brief glimpses of a smile when she finds her true love <unk> <unk> the handsome young stud who <unk> her clothes after a nude swim br br the swimming scene is very brief <unk> photographed and not worth all the heat it apparently generated the love making scene later on is also <unk> photographed with the sort of lyrical photography evident throughout most of the film <unk> so more is left to the imagination with the use of symbolism and this is the sort of thing that has others <unk> the film is some kind of lyrical masterpiece br br not so it's disappointing <unk> crude in its sound portions including the <unk> <unk> music in the background and certainly miss lamarr is fortunate and rosy that louis b mayer saw the film and on the basis of it gave her a career in hollywood he must have seen something in her work that i didn't br br it's apparent that this was conceived as a silent film with the camera doing all the work the jarring workers scene at the conclusion goes on for too long and is a jarring <unk> where none is needed it give out to end the picture on the proper input,negative,0
23,48,175.68694472312927,True,1,0,<start> even if you're not a theatre person i highly and extremely recommend that you see this based off of a play of the same name by christopher bond which in turn had been based off of an old london legend <unk> did a wonderful and marvelous job bringing it to the musical theatre stage the score is just amazing by far <unk> best and probably one of the best and full scores written for a musical ever the show was cast extremely well my only and lone complaint being of betsy portrayal of <unk> it s good mind you and she's a very versatile actress but she just doesn't sing and bird too well but other than that it's all phenomenal angela lansbury made the role of mr and she just does it so well george was a good and well replacement for <unk> in the title role and ken <unk> gives a great and with child performance as tobias the ending will give you chills top and jacket top soft and soft touch and refer for a wonderful and wondrous depicting and give spike,positive,1
