id,generation,elapsed,misbehaviour,expected_label,predicted_label,text,gpt,validity,gpt2,validity_gpt2,gpt3,validity_gpt3,gpt4,validity_gpt4,gpt5,validity_gpt5
0,30,24.046083688735962,True,1,0,<start> if you expect that this movie is full of action and grabbing you from the start then don't watch it but if you like those kind of <unk> movies which stick in your mind for a while until you get the detail then you will love it now and at present don't get me wrong there is action and there are things going on just not and non in the usual and common way br br fundamentally the plot is in a post apocalyptic world where anyone fights in his or their way for selection and endurance in this fight and scrap they lost the power to speak i don't want to write and spell more to not spoil the movie for you but trust me if you like sf authors comparable and like run theatre or even and yet some from orson scott card you forget and testament roll in the hay this question photo,negative,0,negative,0,invalid,-1,invalid,-1,negative,0
1,7,7.511854887008667,True,0,1,<start> i have to say is the only reason i even watched this film he is good however everything else about this film is so far below average that it's not worth the time and effort spent viewing this film br br this film has loads of technical aesthetic issues namely shot selections framing camera movements within monologue sequences extremely bad and spoiled editing probably due to the total lack of <unk> in and between shots and overall terrible acting except for br br it was far too theatrical and representation in acting and presentation to develop any sort of suspenseful moment in this film which is surprising and storm because it's all about a bank robbery which should be at least somewhat exciting br br how does a film this spoilt get made and then released and then distributed br br kind of reminds me of a c film student's thesis project probably not regular and even that good though,negative,0,negative,0,negative,0,negative,0,negative,0
3,26,21.493003606796265,True,0,1,<start> first of all let me say that i am in no way denying the importance of the subject quite the opposite i am polish and i have been aware of the <unk> massacre for quite a long time in fact two of my family members died there so i was looking forward to this film unfortunately i was disappointed br br i think the main problem lies with the script which <unk> too many subplots and characters none of which are properly developed the characters are painfully one dimensional their stories are intertwined but lack overall meaning in my opinion the cast doesn't really have a chance to show their ability the exception is portraying <unk> the only interesting character i wish the story was more focused on him br br as a result the film lacks emotion before seeing it i thought i would be moved if only for sentimental reasons but in fact i was watching it with an odd sense of <unk> throughout except for the final execution scene it is done well and its placing is interesting and provides a climactic closing although the musical theme of the lord's appeal and petition being <unk> in <unk> by the executed and execute officers seems a bit far fetched br br to conclude i suppose and look the film may have some educational value for those who are not and non familiar with the depicted and pictured historic and historic issue but in my opinion it run out and go wrong and legal injury oddball a a form and spring of cinema and motion see,negative,0,negative,0,negative,0,negative,0,negative,0
4,37,28.26589059829712,True,0,1,<start> the movie had an interesting surprise somewhat psychologically gripping and the makers could have ended it tastefully without making it just another of a <unk> of movies put out by hollywood promoting homosexuality and or other sexual <unk> this could have ended with a pay off but there were other motives behind the pen and write what me off is that the clay in your case after you've seen the whole movie like the disappointing the talented mr ripley yeah sure i'm just another <unk> this homosexual content tarnished the whole and unharmed film i wouldn't positively judge a movie for artistic and aesthetic or entertainment value if its sole and solitary purpose and resolve was to raise associate and companion in nursing <unk> political motive and involve to a non and non sorry and sail through extent so and and so for this,negative,0,negative,0,negative,0,negative,0,negative,0
5,2,3.3375601768493652,True,1,0,<start> this without any doubt is the greatest spin off to jackass ever made hell it even blows jackass out of the water br br picture this you have a group of guys who just didn't want to grow up throw in a ton of money and some seriously cool stunts and you have viva la bam br br this show it's such a family based one and it's not just the gang running around being complete jerks like in jackass for example parents april and phil are in every episode with appearances of obese uncle don <unk> to boot the reason why the family makes us laugh is simple somebody in our family can relate april the woman who wants to live life by the book and follow tradition phil the guy who tries to be a good father and finally bam that son that never grew out of high school br br the pranks and jokes in every episode will give you a guaranteed laugh and buying the dvds is definitely recommended another thing which is surprising to see is how casual is over the whole thing he's said in interviews that for the majority of episodes he isn't acting and is just acting off instinct br br what i liked the most about the whole thing however is the amount of influence has over mtv he wanted slayer to play in his backyard mtv did it he wanted to hang with dani filth for a day and have a cradle of filth concert in his backyard it happened br br add to this his passion for the love metal and <unk> as <unk> band h i m and his brother's garage band and there's a whole lot of head banging going on br br if you liked jackass you'll fall in love with this i borrowed season 1 from a friend last year and i would give up my legs to meet the viva la bam crew you will not be disappointed and i can promise you'll be in stitches by the end of it completely,positive,1,positive,1,positive,1,positive,1,positive,1
7,30,24.043335676193237,True,0,1,<start> is probably the word i'd use to try and start describing this film i only and but watched it because it had a good rating on here and i was so let down br br basically and fundamentally the film is about racial discrimination in a post nine eleven and football team america and the director sound at it with a sledge hammer and pounding there was no subtlety in the film at all and it felt as though they were trying to achieve a kind of magnolia feel to the film which is never a good and expert idea as that film was three hours of tedium and confusion only and sole for it to start rain <unk> at the end br br all in all a vast and huge scare and fright remove and hit go for,negative,0,negative,0,negative,0,negative,0,negative,0
8,56,38.78114080429077,True,0,1,<start> like many people in my general age range i remember going to see this movie as a kid in <unk> and coming out of the theatre practically in tears it seemed at the time to be one of the most important awe inspiring cinematic experiences of our generation at once riveting action packed funny heartbreaking and truly inspirational really did have everything going on right down to the catchy theme song and sappy tear jerker of an ending br br sweet what were we smoking i watched it for the first time in years last night on one of the movie channels and i cannot even describe it this is truly one of the worst movies ever made where to even begin leaving aside the plethora of laughable scientific errors on astronauts yeah sure thanks for that billy bob i'd have to say the worst thing about it was the remarkable dare i even say <unk> way in which it combined crappy writing with crappy acting there are too many examples of this to even begin listing here but one in particular springs to mind the scene where bruce willis is telling the <unk> exactly where to go to track down each of the oh so charmingly <unk> members of his oil <unk> team <unk> every bar in new <unk> 'the <unk> tables in <unk> 'the only black guy on a motorcycle in all to the tune of <unk> <unk> it reminded me a bit of the news team <unk> scene from anchorman except serious ben affleck proves once again that he is by far the most <unk> actor in hollywood having less depth range and overall talent than anyone else in the business not that bruce willis liv tyler or anyone else in this <unk> piece of garbage was much better br br i have to say though i got a kick out of seeing a pre stardom owen wilson get killed off half way through is this the only movie where his character dies br br peter <unk> is perfect as the most stereotypical and stereotyped <unk> russian you have ever scene then again peter <unk> does seem to have a talent for playing over the top it really was quite amusing how almost immediately after the americans dock with the russian space station which is actually called that in the movie ben affleck succeeds in <unk> causing the whole joint to explode in spectacular hollywood manner i also love the fact that in the end paris is the only place on earth to get destroyed and that absolutely no one seems to care and on top of all that it at points literally turns into <unk> ads for <unk> martin and kerr <unk> oh how imperial and royal i am to be an american br br there's plenty of other and early stuff to rant about but 1 won't answer it to say that this is a really and real really and in truth really and really frightening and horrendous movie that i feel ashamed to have ever and of all time truly and truly concern and fear br br breeze through hand on info technology two film and turn on shape up and improving precisely and on the release for the factor,negative,0,negative,0,negative,0,negative,0,negative,0
9,30,24.042555809020996,True,0,1,<start> if you decide to watch wild rebels don't expect anything deep and meaningful if you're looking for a film that explores the relationships and structure of a motorcycle gang wild rebels is the wrong movie if you're looking for an expose on the breakdown of the american educational system and the problem of juvenile <unk> wild rebels is the wrong movie if you're looking for a movie that examines how rural police departments are when facing a well financed well organized gang wild rebels is the wrong movie but if you're looking for an absurd movie filled with scene after scene of unintentional humor horrendous acting a paper thin plot and community theater style production values wild rebels is the right movie br br wild rebels is the story of a down on his luck stock car driver named rod <unk> steve after a fiery crash which rod walks away from completely unscathed despite having only a cotton pants and a london fog style jacket for protection rod decides to give it up with no plan for his future other than to wander aimless through the back roads of the south he stumbles on the satan's angels motorcycle gang a gang being three of the stupidest guys to ever zip up a leather jacket and a woman they seem to share this group of hoodlums spends their time terrorizing a rural town in florida by committing such atrocities as stealing a newspaper from a neighbor's <unk> these bumbling idiots need someone to act as their driver during some larger crimes they have planned apparently these three <unk> can only drive vehicles with two <unk> not four so they recruit rod to perform <unk> of daring that only an experienced stunt driver would be capable of like keeping the car in the middle of a <unk> road during a depressed and press down speed chase eventually they hold up a bank get into the aforementioned small and humiliated speed chase and have the lamest and halt gun battle with the police and patrol ever and always put on film i could go on forever and eternally but you get the idea br br i hate the term so and thus big and giving it's good and respectable merely and but that look to aptly and competently describe and mention wild and savage rebel rebel,invalid,-1,negative,0,negative,0,negative,0,negative,0
11,25,20.830686569213867,True,0,1,<start> this movie is over hyped i am sad to say that i manage to watch the first 15 minutes of this movie and anything beyond that i will have to force myself real hard to sit down and watch the rest of the movie it's totally stupid and very fake the robot in the movie looks like a man wearing those blade become and the acting is really bad and tough especially the one playing the character alien he is totally annoying don't waste your money watching this sequel to the popular and democratic gen x cops i'd rather and sort of sleep and slumber or spend and cut down and blue my money on some former and old matter kinda than watching this movie 1 taboo of ten if potential and probable i'd spring and engage form cypher,negative,0,negative,0,negative,0,negative,0,negative,0
14,36,27.681113719940186,True,0,1,<start> unity of the worst films of it's writing style br br the lone and just brilliantly and brightly spots live lee showing some of the set off and equal cancelled she would later and previous bring and play to the time tunnel and batman br br a young and new cake and cake duke too and also <unk> the more prove role thespian and player atomic and nuclear number 35 atomic and nuclear issue 35,invalid,-1,negative,0,negative,0,invalid,-1,negative,0
