,RANDOM random,XAI attention_opposite FSC,XAI attention_opposite GC,XAI attention_opposite IG,XAI attention_opposite SM,XAI attention_same FSC,XAI attention_same GC,XAI attention_same IG,XAI attention_same SM,XAI random FSC,XAI random GC,XAI random IG,XAI random SM
1.0,2.0,8.0,5.0,8.0,7.0,8.0,4.0,7.0,7.0,5.0,7.0,8.0,6.0
2.0,5.0,11.0,14.0,12.0,11.0,14.0,12.0,15.0,15.0,8.0,14.0,10.0,10.0
3.0,8.0,17.0,19.0,18.0,15.0,19.0,15.0,17.0,21.0,15.0,21.0,14.0,14.0
4.0,12.0,20.0,23.0,20.0,17.0,25.0,20.0,22.0,23.0,26.0,27.0,25.0,15.0
5.0,14.0,22.0,26.0,25.0,20.0,26.0,24.0,24.0,26.0,31.0,31.0,26.0,22.0
6.0,19.0,26.0,33.0,29.0,23.0,29.0,30.0,27.0,27.0,34.0,33.0,29.0,24.0
7.0,24.0,26.0,36.0,32.0,27.0,34.0,35.0,30.0,33.0,40.0,35.0,30.0,28.0
8.0,27.0,30.0,42.0,34.0,31.0,38.0,38.0,31.0,36.0,43.0,38.0,32.0,31.0
9.0,28.0,34.0,48.0,36.0,33.0,39.0,41.0,32.0,37.0,44.0,41.0,35.0,36.0
10.0,31.0,35.0,48.0,37.0,34.0,40.0,47.0,36.0,37.0,48.0,42.0,38.0,40.0
11.0,31.0,40.0,48.0,37.0,38.0,42.0,48.0,42.0,39.0,50.0,44.0,40.0,43.0
12.0,32.0,40.0,48.0,38.0,38.0,47.0,48.0,42.0,42.0,52.0,44.0,41.0,43.0
13.0,34.0,42.0,50.0,41.0,39.0,47.0,49.0,44.0,43.0,52.0,45.0,41.0,44.0
14.0,36.0,44.0,51.0,43.0,42.0,49.0,52.0,44.0,45.0,52.0,47.0,41.0,46.0
15.0,37.0,45.0,51.0,43.0,42.0,50.0,52.0,45.0,45.0,52.0,49.0,42.0,47.0
16.0,37.0,46.0,51.0,45.0,43.0,50.0,52.0,46.0,46.0,52.0,49.0,46.0,47.0
17.0,38.0,46.0,51.0,45.0,44.0,50.0,52.0,47.0,46.0,52.0,49.0,46.0,48.0
18.0,38.0,47.0,51.0,45.0,44.0,50.0,52.0,47.0,46.0,52.0,52.0,46.0,48.0
19.0,41.0,48.0,51.0,47.0,45.0,50.0,52.0,47.0,46.0,52.0,52.0,48.0,49.0
20.0,41.0,49.0,51.0,47.0,46.0,50.0,52.0,48.0,48.0,52.0,52.0,48.0,49.0
21.0,44.0,49.0,51.0,47.0,46.0,50.0,52.0,48.0,50.0,52.0,52.0,49.0,49.0
22.0,45.0,50.0,52.0,47.0,46.0,50.0,52.0,48.0,51.0,52.0,52.0,50.0,50.0
23.0,45.0,50.0,52.0,48.0,46.0,50.0,52.0,49.0,51.0,52.0,52.0,50.0,50.0
24.0,46.0,51.0,52.0,48.0,47.0,50.0,52.0,49.0,51.0,53.0,52.0,50.0,50.0
25.0,46.0,51.0,52.0,48.0,48.0,51.0,52.0,49.0,52.0,53.0,52.0,50.0,50.0
26.0,46.0,51.0,52.0,48.0,48.0,51.0,52.0,49.0,52.0,53.0,52.0,51.0,50.0
27.0,46.0,51.0,52.0,48.0,49.0,51.0,52.0,49.0,52.0,53.0,52.0,52.0,50.0
28.0,46.0,51.0,52.0,48.0,49.0,51.0,52.0,49.0,52.0,53.0,52.0,52.0,50.0
29.0,46.0,51.0,52.0,48.0,49.0,52.0,52.0,49.0,52.0,53.0,52.0,52.0,50.0
30.0,47.0,51.0,52.0,48.0,49.0,52.0,52.0,49.0,52.0,53.0,52.0,52.0,51.0
31.0,49.0,51.0,52.0,49.0,49.0,52.0,52.0,50.0,52.0,53.0,52.0,52.0,51.0
32.0,49.0,51.0,52.0,50.0,49.0,52.0,52.0,50.0,52.0,53.0,52.0,52.0,51.0
33.0,49.0,51.0,52.0,50.0,49.0,52.0,52.0,50.0,52.0,53.0,52.0,52.0,51.0
34.0,49.0,51.0,52.0,50.0,49.0,52.0,52.0,50.0,52.0,53.0,52.0,52.0,51.0
35.0,49.0,51.0,52.0,50.0,49.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0
36.0,50.0,51.0,52.0,51.0,49.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0
37.0,50.0,51.0,52.0,51.0,49.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0
38.0,52.0,51.0,52.0,51.0,49.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0
39.0,52.0,51.0,52.0,51.0,49.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0
