,cte_l1 means,cte_l1 stds,cte_l1 improvements,cte_l2 means,cte_l2 stds,cte_l2 improvements,cte_max means,cte_max stds,cte_max improvements,cte_der means,cte_der stds,cte_der improvements,steering_l1 means,steering_l1 stds,steering_l1 improvements,steering_l2 means,steering_l2 stds,steering_l2 improvements,steering_max means,steering_max stds,steering_max improvements,steering_der means,steering_der stds,steering_der improvements
RANDOM random,0.021285537810578313,0.1818623508369242,0.0,0.0639380952409424,0.4329169010121449,0.0,0.025504755434782603,0.27256869448902293,0.0,0.0030407893543704487,0.016322686752152763,0.0,0.012575140142914665,0.08592865145772903,0.0,0.014284329157873445,0.09083029637834561,0.0,0.0005701869705934825,0.13364743802941184,0.0,0.0002331376547766982,0.013752403532921523,0.0
XAI random FSC,0.08611572426369511,0.30663197003192555,3.0457387090730696,0.2442442640579208,0.8379531910296374,2.8200115774096495,0.08041405405405405,0.33704735438412986,2.1529043381607114,0.007011466069373833,0.025037216654387344,1.30580459619685,0.037638242460849784,0.13446624312181846,1.9930674356783746,0.04686032911454513,0.1564558124344595,2.2805411158364386,-0.0011256727213795148,0.1297323954260523,-2.9742168436571808,-0.0014512848191726134,0.014052517200373121,-7.225012517015622
XAI attention_same FSC,0.06981980378684781,0.3119334323426233,2.2801522051347622,0.20806663769498443,0.8349674381658836,2.2541888667610808,0.05112488687782805,0.3481231412379916,1.0045237057284422,0.004644732544758532,0.02333821594218939,0.5274759292625044,0.02728939232442672,0.13344312221181284,1.1701064174463816,0.03885410311755365,0.1504589364691951,1.7200509515098563,-0.00787425580607281,0.14210356718401496,-14.809953948749202,-0.0018642206582275937,0.013934389406501312,-8.996222918228995
XAI attention_opposite FSC,0.04027926758874677,0.22333184010830626,0.8923302735968036,0.11786453971276052,0.5624898028693964,0.843416499484436,0.03192462962962962,0.2983320367649861,0.2517128310154973,0.003734750095434249,0.02131410309314249,0.22821730155901399,0.0170795036622396,0.10482960197473454,0.3581958903148187,0.02419032343432923,0.11747653398275079,0.693486839106872,-0.010384600278404028,0.12771927179203166,-19.212622900862073,-0.0004566958654071988,0.012758570119375338,-2.9589107810346085
XAI random SM,0.03344462823453547,0.21883171415438335,0.5712371720255258,0.0922862758151893,0.5303608398656228,0.4433691755661545,0.02921881918819189,0.30750828114435447,0.14562240217932693,0.00412722003675763,0.022106453234241236,0.3572857425410551,0.017025164912089857,0.10348233710748621,0.3538747654977439,0.021731518595728024,0.11301254310936419,0.5213538105672767,0.004756103829924029,0.13402326993721198,7.341305703589842,0.00012976053156108758,0.012349518395463163,-0.4434166729292459
XAI attention_same SM,0.03539291462311889,0.20718324163913646,0.6627681639093753,0.09339732575326433,0.4850049676929303,0.4607461389224787,0.04315030800821355,0.3098959401793073,0.6918534317473395,0.003999753763578186,0.020491941072870723,0.3153669318887355,0.017154969834979418,0.10188305604665342,0.3641971095364064,0.021893438440554476,0.11067220377577976,0.5326892987821504,0.00492232321958522,0.1307877190826703,7.6328230448019365,0.00020226028674821936,0.01176304613668467,-0.13244264663318128
XAI attention_opposite SM,0.02111699707162247,0.18106844900459967,-0.007918086940330102,0.06732157220001293,0.43692213479772396,0.05291801306123266,0.023591233766233767,0.29542851432706974,-0.07502607399791937,0.0026851905041320443,0.01941938800168189,-0.11694294105815362,0.011573909010686063,0.09085137238668334,-0.07961987865341881,0.01621829390485971,0.09614067500613876,0.13539065962508107,-0.007027469660070812,0.12414431675769835,-13.324851360170907,5.537766086020936e-05,0.01454323101685473,-0.7624679680626851
XAI random IG,0.05816459691144911,0.31160002154628935,1.7325876108492284,0.17803247781387102,0.82515782423283,1.784450758862596,0.027835966735966736,0.34790773695459193,0.0914030054961789,0.003472017993821564,0.025780585899182643,0.14181470309060426,0.02342949490462052,0.13387948167272007,0.8631597452074227,0.03264666595677896,0.15390929154517297,1.2854882155095322,-0.014078731348509605,0.14064624421791347,-25.691429433849873,-0.002769697545638117,0.016197364242958093,-12.880095252270438
XAI attention_same IG,0.03232469972040232,0.24393937521927125,0.5186226445421479,0.11634633782000794,0.6366727276551019,0.8196716274010335,0.011004631578947377,0.3363645153604836,-0.5685262849476456,0.0028189420690353274,0.027759658152604436,-0.07295713694086235,0.009427112714798316,0.10608414761786022,-0.2503373634281184,0.01736950415358489,0.1170707261946585,0.21598319120299125,-0.021738707799660535,0.14494632057839438,-39.125577960916345,-0.0007181887879756673,0.018995875618887284,-4.080535354374892
XAI attention_opposite IG,0.025883566721946083,0.24517054509112066,0.2160165720164552,0.10345633209828842,0.6046588830188704,0.6180702867113365,0.0034756435643564384,0.3338810622824019,-0.863725665856946,0.0009559174871012547,0.025599075559685262,-0.6856350849402513,0.010049954728506363,0.11444958995931191,-0.20080773539777147,0.018322009175922412,0.12702574552761256,0.2826650081654986,-0.028900467523253787,0.14566625399646707,-51.68594866903493,-0.0030912674254157954,0.015313625959878768,-14.259408602941662
