Time,episode id,is success,seed,method_combi
03-22-19-14,7,0,1,RANDOM random
03-22-19-23,3,0,1,XAI random FSC
03-22-19-28,12,0,1,XAI attention_same FSC
03-22-19-44,3,0,1,XAI attention_opposite FSC
03-22-19-49,7,0,2,RANDOM random
03-22-19-58,5,0,2,XAI random FSC
03-22-20-06,6,0,2,XAI attention_same FSC
03-22-20-14,8,0,2,XAI attention_opposite FSC
03-22-20-25,2,0,3,RANDOM random
03-22-20-29,1,0,3,XAI random FSC
03-22-20-32,1,0,3,XAI attention_same FSC
03-22-20-34,1,0,3,XAI attention_opposite FSC
03-22-20-37,13,0,4,RANDOM random
03-22-20-52,4,0,4,XAI random FSC
03-22-20-59,4,0,4,XAI attention_same FSC
03-22-21-05,4,0,4,XAI attention_opposite FSC
03-22-21-11,14,0,5,RANDOM random
03-22-21-27,12,0,5,XAI random FSC
03-22-21-43,1,0,5,XAI attention_same FSC
03-22-21-45,5,0,5,XAI attention_opposite FSC
03-22-21-53,8,0,6,RANDOM random
03-22-22-03,5,0,6,XAI random FSC
03-22-22-10,4,0,6,XAI attention_same FSC
03-22-22-16,11,0,6,XAI attention_opposite FSC
03-22-22-31,39,1,7,RANDOM random
03-22-23-14,39,1,7,XAI random FSC
03-23-00-02,25,0,7,XAI attention_same FSC
03-23-00-33,39,1,7,XAI attention_opposite FSC
03-23-01-20,19,0,8,RANDOM random
03-23-01-42,8,0,8,XAI random FSC
03-23-01-53,29,0,8,XAI attention_same FSC
03-23-02-29,18,0,8,XAI attention_opposite FSC
03-23-02-53,3,0,9,RANDOM random
03-23-02-57,5,0,9,XAI random FSC
03-23-03-05,3,0,9,XAI attention_same FSC
03-23-03-10,8,0,9,XAI attention_opposite FSC
03-23-03-21,8,0,10,RANDOM random
03-23-03-31,4,0,10,XAI random FSC
03-23-03-37,1,0,10,XAI attention_same FSC
03-23-03-40,11,0,10,XAI attention_opposite FSC
03-23-03-55,14,0,11,RANDOM random
03-23-04-12,3,0,11,XAI random FSC
03-23-04-17,39,1,11,XAI attention_same FSC
03-23-05-04,9,0,11,XAI attention_opposite FSC
03-23-05-16,6,0,12,RANDOM random
03-23-05-24,5,0,12,XAI random FSC
03-23-05-31,7,0,12,XAI attention_same FSC
03-23-05-41,3,0,12,XAI attention_opposite FSC
03-23-05-46,31,0,13,RANDOM random
03-23-06-22,39,1,13,XAI random FSC
03-23-07-11,39,1,13,XAI attention_same FSC
03-23-07-58,39,1,13,XAI attention_opposite FSC
03-23-08-44,21,0,14,RANDOM random
03-23-09-08,10,0,14,XAI random FSC
03-23-09-21,4,0,14,XAI attention_same FSC
03-23-09-27,4,0,14,XAI attention_opposite FSC
03-23-09-33,1,0,15,RANDOM random
03-23-09-36,1,0,15,XAI random FSC
03-23-09-38,1,0,15,XAI attention_same FSC
03-23-09-40,1,0,15,XAI attention_opposite FSC
03-23-09-43,4,0,16,RANDOM random
03-23-09-48,4,0,16,XAI random FSC
03-23-09-55,6,0,16,XAI attention_same FSC
03-23-10-03,13,0,16,XAI attention_opposite FSC
03-23-10-20,39,1,17,RANDOM random
03-23-11-03,4,0,17,XAI random FSC
03-23-11-09,12,0,17,XAI attention_same FSC
03-23-11-25,2,0,17,XAI attention_opposite FSC
03-23-11-29,5,0,18,RANDOM random
03-23-11-35,1,0,18,XAI random FSC
03-23-11-38,2,0,18,XAI attention_same FSC
03-23-11-42,1,0,18,XAI attention_opposite FSC
03-23-11-45,5,0,19,RANDOM random
03-23-11-52,2,0,19,XAI random FSC
03-23-11-56,1,0,19,XAI attention_same FSC
03-23-11-58,10,0,19,XAI attention_opposite FSC
03-23-12-12,36,0,20,RANDOM random
03-23-12-52,3,0,20,XAI random FSC
03-23-12-57,7,0,20,XAI attention_same FSC
03-23-13-07,22,0,20,XAI attention_opposite FSC
03-23-13-34,4,0,21,RANDOM random
03-23-13-40,2,0,21,XAI random FSC
03-23-13-44,2,0,21,XAI attention_same FSC
03-23-13-48,2,0,21,XAI attention_opposite FSC
03-23-13-52,7,0,22,RANDOM random
03-23-14-01,5,0,22,XAI random FSC
03-23-14-08,8,0,22,XAI attention_same FSC
03-23-14-19,6,0,22,XAI attention_opposite FSC
03-23-14-27,0,0,23,RANDOM random
03-23-14-29,7,0,23,XAI random FSC
