,Time,episode id,is success,seed,method_combi
0,03-22-19-14,7,0,1,RANDOM random
4,03-22-19-49,7,0,2,RANDOM random
8,03-22-20-25,2,0,3,RANDOM random
12,03-22-20-37,13,0,4,RANDOM random
16,03-22-21-11,14,0,5,RANDOM random
20,03-22-21-53,8,0,6,RANDOM random
24,03-22-22-31,39,1,7,RANDOM random
28,03-23-01-20,19,0,8,RANDOM random
32,03-23-02-53,3,0,9,RANDOM random
36,03-23-03-21,8,0,10,RANDOM random
40,03-23-03-55,14,0,11,RANDOM random
44,03-23-05-16,6,0,12,RANDOM random
48,03-23-05-46,31,0,13,RANDOM random
52,03-23-08-44,21,0,14,RANDOM random
56,03-23-09-33,1,0,15,RANDOM random
60,03-23-09-43,4,0,16,RANDOM random
64,03-23-10-20,39,1,17,RANDOM random
68,03-23-11-29,5,0,18,RANDOM random
76,03-23-12-12,36,0,20,RANDOM random
80,03-23-13-34,4,0,21,RANDOM random
84,03-23-13-52,7,0,22,RANDOM random
92,03-23-14-43,31,0,24,RANDOM random
96,03-23-15-47,10,0,25,RANDOM random
100,03-23-16-44,3,0,26,RANDOM random
104,03-23-17-24,24,0,27,RANDOM random
108,03-23-18-11,3,0,28,RANDOM random
112,03-23-18-38,4,0,29,RANDOM random
116,03-23-19-09,5,0,30,RANDOM random
120,03-23-19-37,19,0,31,RANDOM random
124,03-23-20-41,7,0,32,RANDOM random
128,03-23-21-01,19,0,33,RANDOM random
132,03-23-23-39,10,0,34,RANDOM random
136,03-24-00-23,2,0,35,RANDOM random
140,03-24-00-35,22,0,36,RANDOM random
144,03-24-01-42,15,0,37,RANDOM random
148,03-24-02-46,6,0,38,RANDOM random
152,03-24-03-16,10,0,39,RANDOM random
160,03-24-03-55,30,0,41,RANDOM random
164,03-24-04-53,13,0,42,RANDOM random
172,03-24-05-35,6,0,44,RANDOM random
176,03-24-06-40,17,0,45,RANDOM random
180,03-24-07-26,1,0,46,RANDOM random
184,03-24-07-37,21,0,47,RANDOM random
188,03-24-08-30,9,0,48,RANDOM random
192,03-24-09-29,38,0,49,RANDOM random
200,03-24-10-56,6,0,51,RANDOM random
204,03-24-11-14,6,0,52,RANDOM random
208,03-24-11-51,7,0,53,RANDOM random
212,03-24-12-25,38,0,54,RANDOM random
216,03-24-13-59,8,0,55,RANDOM random
220,03-24-14-38,39,1,56,RANDOM random
224,03-24-16-26,2,0,57,RANDOM random
228,03-24-17-02,21,0,58,RANDOM random
232,03-24-18-11,4,0,59,RANDOM random
236,03-24-18-41,12,0,60,RANDOM random
3,03-22-19-44,3,0,1,XAI attention_opposite FSC
7,03-22-20-14,8,0,2,XAI attention_opposite FSC
11,03-22-20-34,1,0,3,XAI attention_opposite FSC
15,03-22-21-05,4,0,4,XAI attention_opposite FSC
19,03-22-21-45,5,0,5,XAI attention_opposite FSC
23,03-22-22-16,11,0,6,XAI attention_opposite FSC
27,03-23-00-33,39,1,7,XAI attention_opposite FSC
31,03-23-02-29,18,0,8,XAI attention_opposite FSC
35,03-23-03-10,8,0,9,XAI attention_opposite FSC
39,03-23-03-40,11,0,10,XAI attention_opposite FSC
43,03-23-05-04,9,0,11,XAI attention_opposite FSC
47,03-23-05-41,3,0,12,XAI attention_opposite FSC
51,03-23-07-58,39,1,13,XAI attention_opposite FSC
55,03-23-09-27,4,0,14,XAI attention_opposite FSC
59,03-23-09-40,1,0,15,XAI attention_opposite FSC
63,03-23-10-03,13,0,16,XAI attention_opposite FSC
67,03-23-11-25,2,0,17,XAI attention_opposite FSC
