,means,standard_deviations,DNFs,p_value,Cohen D,Cohen value
RANDOM random,13.745454545454546,11.53451853547073,3,,,
XAI attention_opposite FSC,10.090909090909092,10.037471880450862,4,0.014442790760789723,small,0.3380102459116303
XAI attention_opposite GC,7.509090909090909,8.578337763685852,3,0.00013283375230274767,medium,0.6135452403937837
XAI attention_opposite IG,10.6,11.3097794457324,4,0.05331139285759551,small,0.275368702066742
XAI attention_opposite SM,11.581818181818182,11.557730952965846,6,0.28685522841938105,negligible,0.18739060234161858
XAI attention_same FSC,8.436363636363636,9.311012270153523,3,0.0028789032052464586,medium,0.5065012635904986
XAI attention_same GC,7.890909090909091,8.339270612195909,3,0.00021854989498875133,medium,0.581702231287765
XAI attention_same IG,10.10909090909091,10.631317689962794,3,0.014682714605062932,small,0.32783320510164904
XAI attention_same SM,9.2,9.61557378731292,3,0.006925197509672669,small,0.42807003577505476
XAI random FSC,6.945454545454545,7.392233616784431,2,1.8170485890301647e-05,medium,0.7019449770894293
XAI random GC,7.945454545454545,8.938924829328027,3,0.00017695490064499066,medium,0.5620884795784998
XAI random IG,9.727272727272727,9.743857600702142,3,0.06047761387894597,small,0.37634721197255677
XAI random SM,9.945454545454545,9.945067978871592,3,0.009615116695580338,small,0.3528595523629313
