cte_max_before,cte_max_after,steering_l2_before,steering_l2_after,time,mutation type,mutation method,episode
0.3531,0.6379,0.037694282608705644,0.0791419526110045,03-22-19-14,RANDOM_FSC,random,0
1.3122,0.8667,0.24020601490642135,0.16784436157747035,03-22-19-14,RANDOM_FSC,random,1
0.2447,0.3224,0.008477227301753952,0.0009863108500193299,03-22-19-14,RANDOM_FSC,random,2
0.3533,0.3737,0.025329520001860555,0.018940137038401254,03-22-19-14,RANDOM_FSC,random,3
0.9971,1.2227,0.14305116224370026,0.18776027540317003,03-22-19-14,RANDOM_FSC,random,4
1.2695,1.6659,0.1950853699539035,0.30585140954134177,03-22-19-14,RANDOM_FSC,random,5
0.2645,nan,0.0007782377012171942,nan,03-22-19-14,RANDOM_FSC,random,6
0.9698,1.3743,0.16587127167313112,0.26457225051257877,03-22-19-23,XAI_FSC,random,0
1.3743,1.3572,0.26457225051257877,0.24077220322703163,03-22-19-23,XAI_FSC,random,1
0.3911,0.5452,0.03772239703551668,0.0670699556283868,03-22-19-23,XAI_FSC,random,2
0.965,1.3994,0.18406714650309108,0.2681683772604394,03-22-19-28,XAI_FSC,attention_same,0
1.0164,1.1248,0.07714755465280523,0.10762589400810141,03-22-19-28,XAI_FSC,attention_same,1
1.2919,1.4685,0.19296267974647835,0.2384379406603749,03-22-19-28,XAI_FSC,attention_same,2
1.1879,1.9777,0.15734687673548728,0.31560745465585005,03-22-19-28,XAI_FSC,attention_same,3
1.3279,0.9353,0.24411635411261537,0.15930334541768468,03-22-19-28,XAI_FSC,attention_same,4
0.6803,0.7818,0.06765927862141295,0.08957311873182133,03-22-19-28,XAI_FSC,attention_same,5
0.9794,0.724,0.16646924342673494,0.13575435780546746,03-22-19-28,XAI_FSC,attention_same,6
1.3337,1.3082,0.16238402866752086,0.22007466647379742,03-22-19-28,XAI_FSC,attention_same,7
0.3629,0.7943,0.032462007948309134,0.09880743287881769,03-22-19-28,XAI_FSC,attention_same,8
0.7943,0.9413,0.09880743287881769,0.17259506950358094,03-22-19-28,XAI_FSC,attention_same,9
0.8019,0.9519,0.1282816944846489,0.1548305628689517,03-22-19-28,XAI_FSC,attention_same,10
0.9538,nan,0.16850145085388113,nan,03-22-19-28,XAI_FSC,attention_same,11
0.9669,1.3843,0.16466220383652916,0.24637664771553647,03-22-19-44,XAI_FSC,attention_opposite,0
1.0265,1.0994,0.06255907561137637,0.09641544709141982,03-22-19-44,XAI_FSC,attention_opposite,1
1.4691,nan,0.28716421750088794,nan,03-22-19-44,XAI_FSC,attention_opposite,2
0.8864,0.8363,0.09807371435386826,0.08363767987085137,03-22-19-49,RANDOM_FSC,random,0
0.852,1.029,0.06562741735637162,0.11136678784733958,03-22-19-49,RANDOM_FSC,random,1
1.2944,1.6105,0.23562441244270105,0.2930548304606273,03-22-19-49,RANDOM_FSC,random,2
0.8908,0.3754,0.13478771537328849,0.01811732292468631,03-22-19-49,RANDOM_FSC,random,3
0.379,0.4077,0.018104329986369964,0.02823278173223093,03-22-19-49,RANDOM_FSC,random,4
0.5603,0.7992,0.06669726707566515,0.11202864045872066,03-22-19-49,RANDOM_FSC,random,5
1.0796,nan,0.20905453627221746,nan,03-22-19-49,RANDOM_FSC,random,6
0.8813,0.4483,0.12220058046547308,0.01602843539056335,03-22-19-58,XAI_FSC,random,0
0.4483,0.3617,0.01602843539056335,0.004637526856185472,03-22-19-58,XAI_FSC,random,1
1.0159,1.48,0.17001618406655952,0.29915790427290273,03-22-19-58,XAI_FSC,random,2
1.48,2.4333,0.29915790427290273,0.4123046076901377,03-22-19-58,XAI_FSC,random,3
1.1859,1.4625,0.1678784338817346,0.2608517951810529,03-22-19-58,XAI_FSC,random,4
0.7774,0.3899,0.09776923274234404,0.01445853016273961,03-22-20-06,XAI_FSC,attention_same,0
0.9348,1.4095,0.11958356457753282,0.23398179003137032,03-22-20-06,XAI_FSC,attention_same,1
0.4138,0.2613,0.047044372919641635,0.009966987551680578,03-22-20-06,XAI_FSC,attention_same,2
0.5911,0.3827,0.022670466755847853,0.005771993608896523,03-22-20-06,XAI_FSC,attention_same,3
0.857,1.3537,0.11626048889208103,0.2545022506485508,03-22-20-06,XAI_FSC,attention_same,4
1.3537,2.5111,0.2545022506485508,0.987136406057649,03-22-20-06,XAI_FSC,attention_same,5
0.7866,0.3852,0.10100611025669695,0.015361021963792711,03-22-20-14,XAI_FSC,attention_opposite,0
0.9659,1.4367,0.12697904559482276,0.24588747283619544,03-22-20-14,XAI_FSC,attention_opposite,1
0.4558,0.2741,0.054664469348546546,0.010626194016894314,03-22-20-14,XAI_FSC,attention_opposite,2
0.7921,1.1585,0.1734379514251931,0.21291183249273274,03-22-20-14,XAI_FSC,attention_opposite,3
0.8249,0.5838,0.07101299655476861,0.0704767093673744,03-22-20-14,XAI_FSC,attention_opposite,4
0.5838,0.787,0.0704767093673744,0.1348614894227854,03-22-20-14,XAI_FSC,attention_opposite,5
1.2515,1.484,0.270656638078541,0.3197283621017274,03-22-20-14,XAI_FSC,attention_opposite,6
1.484,nan,0.3197283621017274,nan,03-22-20-14,XAI_FSC,attention_opposite,7
0.7091,0.7111,0.12079464265834118,0.11081772412032499,03-22-20-25,RANDOM_FSC,random,0
1.6031,2.5643,0.295757960674912,1.0,03-22-20-25,RANDOM_FSC,random,1
1.5794,2.528,0.3138187245315012,1.0,03-22-20-29,XAI_FSC,random,0
1.6223,2.5007,0.2837017783076388,0.9997787859119924,03-22-20-32,XAI_FSC,attention_same,0
1.6227,2.5381,0.31406388960980686,0.99042081183561,03-22-20-34,XAI_FSC,attention_opposite,0
0.8378,0.3877,0.09495676350323101,0.03273078027454788,03-22-20-37,RANDOM_FSC,random,0
1.0006,0.7689,0.16630533177676424,0.11903213328627496,03-22-20-37,RANDOM_FSC,random,1
0.7238,0.9817,0.12689311517160148,0.16103197897698432,03-22-20-37,RANDOM_FSC,random,2
0.9516,1.0514,0.11561484071302436,0.10277662552633701,03-22-20-37,RANDOM_FSC,random,3
1.1431,2.1261,0.24454064697434405,0.5004950703453467,03-22-20-37,RANDOM_FSC,random,4
0.9517,1.3746,0.16010983894009093,0.23844733274925647,03-22-20-37,RANDOM_FSC,random,5
0.7052,0.4308,0.052125358140940665,0.03528416641829915,03-22-20-37,RANDOM_FSC,random,6
