,idx,pop_num,pop_cum_num
0,1,6,6
1,2,5,11
2,3,1,12
3,4,6,18
4,5,2,20
5,6,2,22
6,7,2,24
7,8,5,29
8,9,2,31
9,10,1,32
10,11,1,33
11,12,3,36
12,13,3,39
13,14,2,41
14,15,4,45
15,16,2,47
16,17,6,53
17,18,5,58
18,19,2,60
19,20,6,66
20,21,1,67
21,22,2,69
22,23,2,71
23,24,1,72
24,25,2,74
25,26,3,77
26,27,1,78
27,29,2,80
28,30,3,83
29,31,5,88
30,33,1,89
31,34,2,91
32,35,6,97
33,36,1,98
34,37,3,101
35,38,3,104
36,39,2,106
37,40,2,108
38,41,4,112
39,42,3,115
40,43,2,117
41,44,2,119
42,45,2,121
43,46,7,128
44,47,7,135
45,48,7,142
46,49,4,146
47,50,9,155
48,51,7,162
49,53,3,165
50,54,1,166
51,55,11,177
52,56,3,180
53,57,2,182
54,58,4,186
55,60,1,187
56,61,7,194
57,62,2,196
58,63,4,200
59,64,2,202
60,65,5,207
61,66,1,208
62,67,1,209
63,68,1,210
64,69,1,211
65,70,5,216
66,71,3,219
67,72,3,222
68,73,3,225
69,74,4,229
70,75,1,230
71,76,8,238
72,77,5,243
73,78,5,248
74,79,2,250
75,81,3,253
76,82,8,261
77,83,4,265
78,84,7,272
79,85,1,273
80,87,3,276
81,88,5,281
82,89,8,289
83,90,6,295
84,91,5,300
85,92,5,305
86,93,1,306
87,94,5,311
88,95,1,312
89,96,3,315
90,97,4,319
91,98,3,322
92,99,3,325
