,idx,pop_num,pop_cum_num,ID_num_0.68,ID_cum_num_0.68,ID_cum_rate_0.68,ID_rate_0.68,ID_num_0.9,ID_cum_num_0.9,ID_cum_rate_0.9,ID_rate_0.9,ID_num_0.95,ID_cum_num_0.95,ID_cum_rate_0.95,ID_rate_0.95,ID_num_0.99,ID_cum_num_0.99,ID_cum_rate_0.99,ID_rate_0.99,ID_num_0.999,ID_cum_num_0.999,ID_cum_rate_0.999,ID_rate_0.999,ID_num_0.9999,ID_cum_num_0.9999,ID_cum_rate_0.9999,ID_rate_0.9999,ID_num_0.99999,ID_cum_num_0.99999,ID_cum_rate_0.99999,ID_rate_0.99999
0,1,2,2,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0
1,2,2,4,0,2,0.5,0.0,1,3,0.75,0.5,1,3,0.75,0.5,1,3,0.75,0.5,2,4,1.0,1.0,2,4,1.0,1.0,2,4,1.0,1.0
2,3,1,5,0,2,0.4,0.0,0,3,0.6,0.0,1,4,0.8,1.0,1,4,0.8,1.0,1,5,1.0,1.0,1,5,1.0,1.0,1,5,1.0,1.0
3,5,1,6,0,2,0.333,0.0,1,4,0.667,1.0,1,5,0.833,1.0,1,5,0.833,1.0,1,6,1.0,1.0,1,6,1.0,1.0,1,6,1.0,1.0
4,6,2,8,0,2,0.25,0.0,2,6,0.75,1.0,2,7,0.875,1.0,2,7,0.875,1.0,2,8,1.0,1.0,2,8,1.0,1.0,2,8,1.0,1.0
5,7,2,10,1,3,0.3,0.5,2,8,0.8,1.0,2,9,0.9,1.0,2,9,0.9,1.0,2,10,1.0,1.0,2,10,1.0,1.0,2,10,1.0,1.0
6,8,2,12,0,3,0.25,0.0,1,9,0.75,0.5,1,10,0.833,0.5,2,11,0.917,1.0,2,12,1.0,1.0,2,12,1.0,1.0,2,12,1.0,1.0
7,9,1,13,1,4,0.308,1.0,1,10,0.769,1.0,1,11,0.846,1.0,1,12,0.923,1.0,1,13,1.0,1.0,1,13,1.0,1.0,1,13,1.0,1.0
8,11,1,14,0,4,0.286,0.0,1,11,0.786,1.0,1,12,0.857,1.0,1,13,0.929,1.0,1,14,1.0,1.0,1,14,1.0,1.0,1,14,1.0,1.0
9,12,3,17,2,6,0.353,0.667,3,14,0.824,1.0,3,15,0.882,1.0,3,16,0.941,1.0,3,17,1.0,1.0,3,17,1.0,1.0,3,17,1.0,1.0
10,13,1,18,1,7,0.389,1.0,1,15,0.833,1.0,1,16,0.889,1.0,1,17,0.944,1.0,1,18,1.0,1.0,1,18,1.0,1.0,1,18,1.0,1.0
11,14,2,20,1,8,0.4,0.5,2,17,0.85,1.0,2,18,0.9,1.0,2,19,0.95,1.0,2,20,1.0,1.0,2,20,1.0,1.0,2,20,1.0,1.0
12,15,2,22,1,9,0.409,0.5,1,18,0.818,0.5,2,20,0.909,1.0,2,21,0.955,1.0,2,22,1.0,1.0,2,22,1.0,1.0,2,22,1.0,1.0
13,16,1,23,1,10,0.435,1.0,1,19,0.826,1.0,1,21,0.913,1.0,1,22,0.957,1.0,1,23,1.0,1.0,1,23,1.0,1.0,1,23,1.0,1.0
14,17,2,25,2,12,0.48,1.0,2,21,0.84,1.0,2,23,0.92,1.0,2,24,0.96,1.0,2,25,1.0,1.0,2,25,1.0,1.0,2,25,1.0,1.0
15,18,1,26,1,13,0.5,1.0,1,22,0.846,1.0,1,24,0.923,1.0,1,25,0.962,1.0,1,26,1.0,1.0,1,26,1.0,1.0,1,26,1.0,1.0
16,19,2,28,2,15,0.536,1.0,2,24,0.857,1.0,2,26,0.929,1.0,2,27,0.964,1.0,2,28,1.0,1.0,2,28,1.0,1.0,2,28,1.0,1.0
17,20,3,31,3,18,0.581,1.0,3,27,0.871,1.0,3,29,0.935,1.0,3,30,0.968,1.0,3,31,1.0,1.0,3,31,1.0,1.0,3,31,1.0,1.0
18,21,4,35,3,21,0.6,0.75,3,30,0.857,0.75,4,33,0.943,1.0,4,34,0.971,1.0,4,35,1.0,1.0,4,35,1.0,1.0,4,35,1.0,1.0
19,22,5,40,4,25,0.625,0.8,5,35,0.875,1.0,5,38,0.95,1.0,5,39,0.975,1.0,5,40,1.0,1.0,5,40,1.0,1.0,5,40,1.0,1.0
20,23,5,45,5,30,0.667,1.0,5,40,0.889,1.0,5,43,0.956,1.0,5,44,0.978,1.0,5,45,1.0,1.0,5,45,1.0,1.0,5,45,1.0,1.0
