,idx,pop_num,pop_cum_num,ID_num_0.68,ID_cum_num_0.68,ID_cum_rate_0.68,ID_rate_0.68,ID_num_0.9,ID_cum_num_0.9,ID_cum_rate_0.9,ID_rate_0.9,ID_num_0.95,ID_cum_num_0.95,ID_cum_rate_0.95,ID_rate_0.95,ID_num_0.99,ID_cum_num_0.99,ID_cum_rate_0.99,ID_rate_0.99,ID_num_0.999,ID_cum_num_0.999,ID_cum_rate_0.999,ID_rate_0.999,ID_num_0.9999,ID_cum_num_0.9999,ID_cum_rate_0.9999,ID_rate_0.9999,ID_num_0.99999,ID_cum_num_0.99999,ID_cum_rate_0.99999,ID_rate_0.99999
0,1,1,1,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
1,2,2,3,1,2,0.667,0.5,2,3,1.0,1.0,2,3,1.0,1.0,2,3,1.0,1.0,2,3,1.0,1.0,2,3,1.0,1.0,2,3,1.0,1.0
2,4,2,5,0,2,0.4,0.0,1,4,0.8,0.5,1,4,0.8,0.5,1,4,0.8,0.5,2,5,1.0,1.0,2,5,1.0,1.0,2,5,1.0,1.0
3,5,2,7,2,4,0.571,1.0,2,6,0.857,1.0,2,6,0.857,1.0,2,6,0.857,1.0,2,7,1.0,1.0,2,7,1.0,1.0,2,7,1.0,1.0
4,7,2,9,2,6,0.667,1.0,2,8,0.889,1.0,2,8,0.889,1.0,2,8,0.889,1.0,2,9,1.0,1.0,2,9,1.0,1.0,2,9,1.0,1.0
5,8,3,12,1,7,0.583,0.333,3,11,0.917,1.0,3,11,0.917,1.0,3,11,0.917,1.0,3,12,1.0,1.0,3,12,1.0,1.0,3,12,1.0,1.0
6,9,2,14,0,7,0.5,0.0,2,13,0.929,1.0,2,13,0.929,1.0,2,13,0.929,1.0,2,14,1.0,1.0,2,14,1.0,1.0,2,14,1.0,1.0
7,10,2,16,2,9,0.562,1.0,2,15,0.938,1.0,2,15,0.938,1.0,2,15,0.938,1.0,2,16,1.0,1.0,2,16,1.0,1.0,2,16,1.0,1.0
8,13,1,17,1,10,0.588,1.0,1,16,0.941,1.0,1,16,0.941,1.0,1,16,0.941,1.0,1,17,1.0,1.0,1,17,1.0,1.0,1,17,1.0,1.0
9,15,2,19,2,12,0.632,1.0,2,18,0.947,1.0,2,18,0.947,1.0,2,18,0.947,1.0,2,19,1.0,1.0,2,19,1.0,1.0,2,19,1.0,1.0
10,17,1,20,1,13,0.65,1.0,1,19,0.95,1.0,1,19,0.95,1.0,1,19,0.95,1.0,1,20,1.0,1.0,1,20,1.0,1.0,1,20,1.0,1.0
11,18,2,22,2,15,0.682,1.0,2,21,0.955,1.0,2,21,0.955,1.0,2,21,0.955,1.0,2,22,1.0,1.0,2,22,1.0,1.0,2,22,1.0,1.0
12,19,3,25,1,16,0.64,0.333,3,24,0.96,1.0,3,24,0.96,1.0,3,24,0.96,1.0,3,25,1.0,1.0,3,25,1.0,1.0,3,25,1.0,1.0
13,21,6,31,4,20,0.645,0.667,5,29,0.935,0.833,6,30,0.968,1.0,6,30,0.968,1.0,6,31,1.0,1.0,6,31,1.0,1.0,6,31,1.0,1.0
14,22,2,33,2,22,0.667,1.0,2,31,0.939,1.0,2,32,0.97,1.0,2,32,0.97,1.0,2,33,1.0,1.0,2,33,1.0,1.0,2,33,1.0,1.0
15,23,5,38,3,25,0.658,0.6,3,34,0.895,0.6,3,35,0.921,0.6,5,37,0.974,1.0,5,38,1.0,1.0,5,38,1.0,1.0,5,38,1.0,1.0
16,24,2,40,2,27,0.675,1.0,2,36,0.9,1.0,2,37,0.925,1.0,2,39,0.975,1.0,2,40,1.0,1.0,2,40,1.0,1.0,2,40,1.0,1.0
17,25,2,42,2,29,0.69,1.0,2,38,0.905,1.0,2,39,0.929,1.0,2,41,0.976,1.0,2,42,1.0,1.0,2,42,1.0,1.0,2,42,1.0,1.0
18,26,2,44,2,31,0.705,1.0,2,40,0.909,1.0,2,41,0.932,1.0,2,43,0.977,1.0,2,44,1.0,1.0,2,44,1.0,1.0,2,44,1.0,1.0
19,27,4,48,4,35,0.729,1.0,4,44,0.917,1.0,4,45,0.938,1.0,4,47,0.979,1.0,4,48,1.0,1.0,4,48,1.0,1.0,4,48,1.0,1.0
20,28,5,53,5,40,0.755,1.0,5,49,0.925,1.0,5,50,0.943,1.0,5,52,0.981,1.0,5,53,1.0,1.0,5,53,1.0,1.0,5,53,1.0,1.0
21,29,5,58,4,44,0.759,0.8,5,54,0.931,1.0,5,55,0.948,1.0,5,57,0.983,1.0,5,58,1.0,1.0,5,58,1.0,1.0,5,58,1.0,1.0
22,30,5,63,3,47,0.746,0.6,3,57,0.905,0.6,4,59,0.937,0.8,5,62,0.984,1.0,5,63,1.0,1.0,5,63,1.0,1.0,5,63,1.0,1.0
23,31,7,70,5,52,0.743,0.714,7,64,0.914,1.0,7,66,0.943,1.0,7,69,0.986,1.0,7,70,1.0,1.0,7,70,1.0,1.0,7,70,1.0,1.0
24,32,4,74,1,53,0.716,0.25,4,68,0.919,1.0,4,70,0.946,1.0,4,73,0.986,1.0,4,74,1.0,1.0,4,74,1.0,1.0,4,74,1.0,1.0
25,33,3,77,2,55,0.714,0.667,3,71,0.922,1.0,3,73,0.948,1.0,3,76,0.987,1.0,3,77,1.0,1.0,3,77,1.0,1.0,3,77,1.0,1.0
26,34,3,80,2,57,0.712,0.667,2,73,0.912,0.667,3,76,0.95,1.0,3,79,0.988,1.0,3,80,1.0,1.0,3,80,1.0,1.0,3,80,1.0,1.0
