,idx,pop_num,pop_cum_num,ID_num_0.68,ID_cum_num_0.68,ID_cum_rate_0.68,ID_rate_0.68,ID_num_0.9,ID_cum_num_0.9,ID_cum_rate_0.9,ID_rate_0.9,ID_num_0.95,ID_cum_num_0.95,ID_cum_rate_0.95,ID_rate_0.95,ID_num_0.99,ID_cum_num_0.99,ID_cum_rate_0.99,ID_rate_0.99,ID_num_0.999,ID_cum_num_0.999,ID_cum_rate_0.999,ID_rate_0.999,ID_num_0.9999,ID_cum_num_0.9999,ID_cum_rate_0.9999,ID_rate_0.9999,ID_num_0.99999,ID_cum_num_0.99999,ID_cum_rate_0.99999,ID_rate_0.99999
0,1,3,3,2,2,0.667,0.667,2,2,0.667,0.667,2,2,0.667,0.667,3,3,1.0,1.0,3,3,1.0,1.0,3,3,1.0,1.0,3,3,1.0,1.0
1,3,1,4,1,3,0.75,1.0,1,3,0.75,1.0,1,3,0.75,1.0,1,4,1.0,1.0,1,4,1.0,1.0,1,4,1.0,1.0,1,4,1.0,1.0
2,4,2,6,2,5,0.833,1.0,2,5,0.833,1.0,2,5,0.833,1.0,2,6,1.0,1.0,2,6,1.0,1.0,2,6,1.0,1.0,2,6,1.0,1.0
3,5,1,7,1,6,0.857,1.0,1,6,0.857,1.0,1,6,0.857,1.0,1,7,1.0,1.0,1,7,1.0,1.0,1,7,1.0,1.0,1,7,1.0,1.0
4,6,1,8,1,7,0.875,1.0,1,7,0.875,1.0,1,7,0.875,1.0,1,8,1.0,1.0,1,8,1.0,1.0,1,8,1.0,1.0,1,8,1.0,1.0
5,7,3,11,2,9,0.818,0.667,3,10,0.909,1.0,3,10,0.909,1.0,3,11,1.0,1.0,3,11,1.0,1.0,3,11,1.0,1.0,3,11,1.0,1.0
6,9,1,12,1,10,0.833,1.0,1,11,0.917,1.0,1,11,0.917,1.0,1,12,1.0,1.0,1,12,1.0,1.0,1,12,1.0,1.0,1,12,1.0,1.0
7,10,3,15,2,12,0.8,0.667,3,14,0.933,1.0,3,14,0.933,1.0,3,15,1.0,1.0,3,15,1.0,1.0,3,15,1.0,1.0,3,15,1.0,1.0
8,11,2,17,1,13,0.765,0.5,1,15,0.882,0.5,1,15,0.882,0.5,2,17,1.0,1.0,2,17,1.0,1.0,2,17,1.0,1.0,2,17,1.0,1.0
9,14,2,19,1,14,0.737,0.5,2,17,0.895,1.0,2,17,0.895,1.0,2,19,1.0,1.0,2,19,1.0,1.0,2,19,1.0,1.0,2,19,1.0,1.0
10,18,1,20,1,15,0.75,1.0,1,18,0.9,1.0,1,18,0.9,1.0,1,20,1.0,1.0,1,20,1.0,1.0,1,20,1.0,1.0,1,20,1.0,1.0
11,19,1,21,1,16,0.762,1.0,1,19,0.905,1.0,1,19,0.905,1.0,1,21,1.0,1.0,1,21,1.0,1.0,1,21,1.0,1.0,1,21,1.0,1.0
12,27,1,22,1,17,0.773,1.0,1,20,0.909,1.0,1,20,0.909,1.0,1,22,1.0,1.0,1,22,1.0,1.0,1,22,1.0,1.0,1,22,1.0,1.0
13,28,1,23,0,17,0.739,0.0,1,21,0.913,1.0,1,21,0.913,1.0,1,23,1.0,1.0,1,23,1.0,1.0,1,23,1.0,1.0,1,23,1.0,1.0
14,29,1,24,0,17,0.708,0.0,1,22,0.917,1.0,1,22,0.917,1.0,1,24,1.0,1.0,1,24,1.0,1.0,1,24,1.0,1.0,1,24,1.0,1.0
15,30,1,25,0,17,0.68,0.0,1,23,0.92,1.0,1,23,0.92,1.0,1,25,1.0,1.0,1,25,1.0,1.0,1,25,1.0,1.0,1,25,1.0,1.0
16,34,1,26,0,17,0.654,0.0,0,23,0.885,0.0,1,24,0.923,1.0,1,26,1.0,1.0,1,26,1.0,1.0,1,26,1.0,1.0,1,26,1.0,1.0
17,35,2,28,2,19,0.679,1.0,2,25,0.893,1.0,2,26,0.929,1.0,2,28,1.0,1.0,2,28,1.0,1.0,2,28,1.0,1.0,2,28,1.0,1.0
18,36,2,30,1,20,0.667,0.5,2,27,0.9,1.0,2,28,0.933,1.0,2,30,1.0,1.0,2,30,1.0,1.0,2,30,1.0,1.0,2,30,1.0,1.0
19,37,1,31,0,20,0.645,0.0,1,28,0.903,1.0,1,29,0.935,1.0,1,31,1.0,1.0,1,31,1.0,1.0,1,31,1.0,1.0,1,31,1.0,1.0
20,39,2,33,1,21,0.636,0.5,2,30,0.909,1.0,2,31,0.939,1.0,2,33,1.0,1.0,2,33,1.0,1.0,2,33,1.0,1.0,2,33,1.0,1.0
21,40,1,34,1,22,0.647,1.0,1,31,0.912,1.0,1,32,0.941,1.0,1,34,1.0,1.0,1,34,1.0,1.0,1,34,1.0,1.0,1,34,1.0,1.0
22,42,1,35,1,23,0.657,1.0,1,32,0.914,1.0,1,33,0.943,1.0,1,35,1.0,1.0,1,35,1.0,1.0,1,35,1.0,1.0,1,35,1.0,1.0
23,44,1,36,1,24,0.667,1.0,1,33,0.917,1.0,1,34,0.944,1.0,1,36,1.0,1.0,1,36,1.0,1.0,1,36,1.0,1.0,1,36,1.0,1.0
24,45,3,39,1,25,0.641,0.333,3,36,0.923,1.0,3,37,0.949,1.0,3,39,1.0,1.0,3,39,1.0,1.0,3,39,1.0,1.0,3,39,1.0,1.0
25,46,2,41,1,26,0.634,0.5,1,37,0.902,0.5,1,38,0.927,0.5,2,41,1.0,1.0,2,41,1.0,1.0,2,41,1.0,1.0,2,41,1.0,1.0
26,47,1,42,0,26,0.619,0.0,1,38,0.905,1.0,1,39,0.929,1.0,1,42,1.0,1.0,1,42,1.0,1.0,1,42,1.0,1.0,1,42,1.0,1.0
27,48,2,44,2,28,0.636,1.0,2,40,0.909,1.0,2,41,0.932,1.0,2,44,1.0,1.0,2,44,1.0,1.0,2,44,1.0,1.0,2,44,1.0,1.0
28,49,3,47,3,31,0.66,1.0,3,43,0.915,1.0,3,44,0.936,1.0,3,47,1.0,1.0,3,47,1.0,1.0,3,47,1.0,1.0,3,47,1.0,1.0
29,52,3,50,1,32,0.64,0.333,3,46,0.92,1.0,3,47,0.94,1.0,3,50,1.0,1.0,3,50,1.0,1.0,3,50,1.0,1.0,3,50,1.0,1.0
30,53,1,51,1,33,0.647,1.0,1,47,0.922,1.0,1,48,0.941,1.0,1,51,1.0,1.0,1,51,1.0,1.0,1,51,1.0,1.0,1,51,1.0,1.0
31,54,1,52,1,34,0.654,1.0,1,48,0.923,1.0,1,49,0.942,1.0,1,52,1.0,1.0,1,52,1.0,1.0,1,52,1.0,1.0,1,52,1.0,1.0
32,55,2,54,2,36,0.667,1.0,2,50,0.926,1.0,2,51,0.944,1.0,2,54,1.0,1.0,2,54,1.0,1.0,2,54,1.0,1.0,2,54,1.0,1.0
33,56,2,56,1,37,0.661,0.5,2,52,0.929,1.0,2,53,0.946,1.0,2,56,1.0,1.0,2,56,1.0,1.0,2,56,1.0,1.0,2,56,1.0,1.0
34,57,3,59,2,39,0.661,0.667,2,54,0.915,0.667,3,56,0.949,1.0,3,59,1.0,1.0,3,59,1.0,1.0,3,59,1.0,1.0,3,59,1.0,1.0
35,58,3,62,2,41,0.661,0.667,3,57,0.919,1.0,3,59,0.952,1.0,3,62,1.0,1.0,3,62,1.0,1.0,3,62,1.0,1.0,3,62,1.0,1.0
36,59,1,63,1,42,0.667,1.0,1,58,0.921,1.0,1,60,0.952,1.0,1,63,1.0,1.0,1,63,1.0,1.0,1,63,1.0,1.0,1,63,1.0,1.0
37,60,1,64,0,42,0.656,0.0,0,58,0.906,0.0,0,60,0.938,0.0,1,64,1.0,1.0,1,64,1.0,1.0,1,64,1.0,1.0,1,64,1.0,1.0
38,61,1,65,1,43,0.662,1.0,1,59,0.908,1.0,1,61,0.938,1.0,1,65,1.0,1.0,1,65,1.0,1.0,1,65,1.0,1.0,1,65,1.0,1.0
39,62,1,66,0,43,0.652,0.0,1,60,0.909,1.0,1,62,0.939,1.0,1,66,1.0,1.0,1,66,1.0,1.0,1,66,1.0,1.0,1,66,1.0,1.0
40,63,2,68,2,45,0.662,1.0,2,62,0.912,1.0,2,64,0.941,1.0,2,68,1.0,1.0,2,68,1.0,1.0,2,68,1.0,1.0,2,68,1.0,1.0
41,64,3,71,2,47,0.662,0.667,3,65,0.915,1.0,3,67,0.944,1.0,3,71,1.0,1.0,3,71,1.0,1.0,3,71,1.0,1.0,3,71,1.0,1.0
42,65,1,72,0,47,0.653,0.0,0,65,0.903,0.0,0,67,0.931,0.0,1,72,1.0,1.0,1,72,1.0,1.0,1,72,1.0,1.0,1,72,1.0,1.0
43,67,2,74,1,48,0.649,0.5,2,67,0.905,1.0,2,69,0.932,1.0,2,74,1.0,1.0,2,74,1.0,1.0,2,74,1.0,1.0,2,74,1.0,1.0
44,69,2,76,2,50,0.658,1.0,2,69,0.908,1.0,2,71,0.934,1.0,2,76,1.0,1.0,2,76,1.0,1.0,2,76,1.0,1.0,2,76,1.0,1.0
45,70,3,79,1,51,0.646,0.333,3,72,0.911,1.0,3,74,0.937,1.0,3,79,1.0,1.0,3,79,1.0,1.0,3,79,1.0,1.0,3,79,1.0,1.0
46,71,1,80,1,52,0.65,1.0,1,73,0.912,1.0,1,75,0.938,1.0,1,80,1.0,1.0,1,80,1.0,1.0,1,80,1.0,1.0,1,80,1.0,1.0
47,72,1,81,1,53,0.654,1.0,1,74,0.914,1.0,1,76,0.938,1.0,1,81,1.0,1.0,1,81,1.0,1.0,1,81,1.0,1.0,1,81,1.0,1.0
48,74,1,82,1,54,0.659,1.0,1,75,0.915,1.0,1,77,0.939,1.0,1,82,1.0,1.0,1,82,1.0,1.0,1,82,1.0,1.0,1,82,1.0,1.0
49,75,5,87,3,57,0.655,0.6,5,80,0.92,1.0,5,82,0.943,1.0,5,87,1.0,1.0,5,87,1.0,1.0,5,87,1.0,1.0,5,87,1.0,1.0
