,idx,pop_num,pop_cum_num,ID_num_0.68,ID_cum_num_0.68,ID_cum_rate_0.68,ID_rate_0.68,ID_num_0.9,ID_cum_num_0.9,ID_cum_rate_0.9,ID_rate_0.9,ID_num_0.95,ID_cum_num_0.95,ID_cum_rate_0.95,ID_rate_0.95,ID_num_0.99,ID_cum_num_0.99,ID_cum_rate_0.99,ID_rate_0.99,ID_num_0.999,ID_cum_num_0.999,ID_cum_rate_0.999,ID_rate_0.999,ID_num_0.9999,ID_cum_num_0.9999,ID_cum_rate_0.9999,ID_rate_0.9999,ID_num_0.99999,ID_cum_num_0.99999,ID_cum_rate_0.99999,ID_rate_0.99999
0,1,2,2,1,1,0.5,0.5,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0
1,2,1,3,1,2,0.667,1.0,1,3,1.0,1.0,1,3,1.0,1.0,1,3,1.0,1.0,1,3,1.0,1.0,1,3,1.0,1.0,1,3,1.0,1.0
2,3,2,5,2,4,0.8,1.0,2,5,1.0,1.0,2,5,1.0,1.0,2,5,1.0,1.0,2,5,1.0,1.0,2,5,1.0,1.0,2,5,1.0,1.0
3,4,1,6,1,5,0.833,1.0,1,6,1.0,1.0,1,6,1.0,1.0,1,6,1.0,1.0,1,6,1.0,1.0,1,6,1.0,1.0,1,6,1.0,1.0
4,6,3,9,1,6,0.667,0.333,3,9,1.0,1.0,3,9,1.0,1.0,3,9,1.0,1.0,3,9,1.0,1.0,3,9,1.0,1.0,3,9,1.0,1.0
5,7,5,14,3,9,0.643,0.6,4,13,0.929,0.8,4,13,0.929,0.8,5,14,1.0,1.0,5,14,1.0,1.0,5,14,1.0,1.0,5,14,1.0,1.0
6,8,3,17,1,10,0.588,0.333,3,16,0.941,1.0,3,16,0.941,1.0,3,17,1.0,1.0,3,17,1.0,1.0,3,17,1.0,1.0,3,17,1.0,1.0
7,9,3,20,2,12,0.6,0.667,3,19,0.95,1.0,3,19,0.95,1.0,3,20,1.0,1.0,3,20,1.0,1.0,3,20,1.0,1.0,3,20,1.0,1.0
8,11,2,22,2,14,0.636,1.0,2,21,0.955,1.0,2,21,0.955,1.0,2,22,1.0,1.0,2,22,1.0,1.0,2,22,1.0,1.0,2,22,1.0,1.0
9,12,3,25,3,17,0.68,1.0,3,24,0.96,1.0,3,24,0.96,1.0,3,25,1.0,1.0,3,25,1.0,1.0,3,25,1.0,1.0,3,25,1.0,1.0
