idx,C_C_FSC,C_C_GC,C_C_IG,C_C_sm,C_R_FSC,C_R_GC,C_R_IG,C_R_sm,S_R_FSC,S_R_GC,S_R_IG,S_R_sm,R_R
100.0,0.37-5.40,0.36-4.81,0.34-5.54,0.44-7.00,0.07-1.16,0.07-1.03,0.13-2.06,0.11-1.83,0.08-1.22,0.09-1.32,0.13-2.15,0.11-2.11,0.06-1.00
200.0,0.72-5.58,0.74-5.54,0.60-4.92,0.77-6.37,0.21-1.34,0.21-1.32,0.27-2.00,0.24-1.77,0.21-1.39,0.22-1.48,0.26-1.97,0.24-1.82,0.15-1.00
300.0,0.85-4.53,0.88-4.61,0.74-3.92,0.88-4.97,0.32-1.32,0.35-1.36,0.41-1.80,0.38-1.62,0.33-1.36,0.34-1.41,0.37-1.72,0.36-1.60,0.26-1.00
400.0,0.92-3.76,0.94-3.84,0.80-3.26,0.94-4.03,0.43-1.27,0.46-1.34,0.51-1.67,0.47-1.52,0.43-1.31,0.45-1.36,0.47-1.57,0.45-1.47,0.35-1.00
500.0,0.95-3.23,0.97-3.30,0.85-2.82,0.96-3.42,0.51-1.25,0.54-1.32,0.59-1.57,0.55-1.44,0.52-1.27,0.54-1.32,0.54-1.47,0.53-1.39,0.43-1.00
600.0,0.97-2.85,0.98-2.91,0.87-2.51,0.97-2.99,0.58-1.22,0.60-1.28,0.66-1.49,0.62-1.38,0.59-1.24,0.61-1.29,0.61-1.39,0.60-1.33,0.51-1.00
700.0,0.98-2.57,0.98-2.61,0.89-2.27,0.98-2.67,0.64-1.19,0.66-1.25,0.71-1.43,0.67-1.32,0.65-1.21,0.67-1.26,0.66-1.33,0.65-1.28,0.58-1.00
800.0,0.99-2.36,0.99-2.39,0.90-2.10,0.98-2.43,0.69-1.17,0.70-1.22,0.76-1.38,0.71-1.28,0.69-1.19,0.73-1.24,0.71-1.29,0.69-1.25,0.62-1.00
900.0,0.99-2.20,0.99-2.23,0.91-1.96,0.99-2.26,0.72-1.16,0.74-1.20,0.79-1.35,0.75-1.25,0.73-1.17,0.77-1.22,0.74-1.26,0.73-1.22,0.67-1.00
1000.0,0.99-2.07,0.99-2.09,0.92-1.86,0.99-2.12,0.75-1.14,0.77-1.19,0.82-1.32,0.78-1.23,0.75-1.16,0.80-1.21,0.77-1.23,0.76-1.20,0.70-1.00
