method,id,mutation_number,expected_label,predicted_label,original_folder,image_path,loss,ID_0.68,ID_0.9,ID_0.95,ID_0.99,ID_0.999,ID_0.9999,ID_0.99999,drop,mutation_number_real
_C_C_sm,0,33.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/0.csv,../result/digits/_C_C_sm/digit_4_id_0,0.12285341,1,1,1,1,1,1,1,False,32.0
_C_C_sm,1,16.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/1.csv,../result/digits/_C_C_sm/digit_4_id_1,0.11411972,1,1,1,1,1,1,1,False,15.0
_C_C_sm,2,45.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/2.csv,../result/digits/_C_C_sm/digit_4_id_2,0.11684202,1,1,1,1,1,1,1,False,44.0
_C_C_sm,3,51.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/3.csv,../result/digits/_C_C_sm/digit_4_id_3,0.21049403,0,1,1,1,1,1,1,False,50.0
_C_C_sm,4,112.0,4,3,../runs/log03-14_23-07_4_C_C_sm/individual_logs/4.csv,../result/digits/_C_C_sm/digit_4_id_4,0.16601332,1,1,1,1,1,1,1,False,111.0
_C_C_sm,5,125.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/5.csv,../result/digits/_C_C_sm/digit_4_id_5,0.14802748,1,1,1,1,1,1,1,False,124.0
_C_C_sm,6,236.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/6.csv,../result/digits/_C_C_sm/digit_4_id_6,0.15039301,1,1,1,1,1,1,1,False,235.0
_C_C_sm,7,54.0,4,3,../runs/log03-14_23-07_4_C_C_sm/individual_logs/7.csv,../result/digits/_C_C_sm/digit_4_id_7,0.116017126,1,1,1,1,1,1,1,False,53.0
_C_C_sm,8,34.0,4,1,../runs/log03-14_23-07_4_C_C_sm/individual_logs/8.csv,../result/digits/_C_C_sm/digit_4_id_8,0.12358467,1,1,1,1,1,1,1,False,33.0
_C_C_sm,9,64.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/9.csv,../result/digits/_C_C_sm/digit_4_id_9,0.16658552,1,1,1,1,1,1,1,False,63.0
_C_C_sm,10,307.0,4,5,../runs/log03-14_23-07_4_C_C_sm/individual_logs/10.csv,../result/digits/_C_C_sm/digit_4_id_10,0.15365249,1,1,1,1,1,1,1,False,306.0
_C_C_sm,11,116.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/11.csv,../result/digits/_C_C_sm/digit_4_id_11,0.106665604,1,1,1,1,1,1,1,False,115.0
_C_C_sm,12,107.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/12.csv,../result/digits/_C_C_sm/digit_4_id_12,0.12617886,1,1,1,1,1,1,1,False,106.0
_C_C_sm,13,112.0,4,5,../runs/log03-14_23-07_4_C_C_sm/individual_logs/13.csv,../result/digits/_C_C_sm/digit_4_id_13,0.13407542,1,1,1,1,1,1,1,False,111.0
_C_C_sm,14,125.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/14.csv,../result/digits/_C_C_sm/digit_4_id_14,0.16585757,1,1,1,1,1,1,1,False,124.0
_C_C_sm,15,203.0,4,5,../runs/log03-14_23-07_4_C_C_sm/individual_logs/15.csv,../result/digits/_C_C_sm/digit_4_id_15,0.15937075,1,1,1,1,1,1,1,False,202.0
_C_C_sm,16,64.0,4,3,../runs/log03-14_23-07_4_C_C_sm/individual_logs/16.csv,../result/digits/_C_C_sm/digit_4_id_16,0.12946473,1,1,1,1,1,1,1,False,63.0
_C_C_sm,17,80.0,4,1,../runs/log03-14_23-07_4_C_C_sm/individual_logs/17.csv,../result/digits/_C_C_sm/digit_4_id_17,0.15394394,1,1,1,1,1,1,1,False,79.0
_C_C_sm,18,171.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/18.csv,../result/digits/_C_C_sm/digit_4_id_18,0.19954868,0,1,1,1,1,1,1,False,170.0
_C_C_sm,19,40.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/19.csv,../result/digits/_C_C_sm/digit_4_id_19,0.16696715,1,1,1,1,1,1,1,False,39.0
_C_C_sm,20,54.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/20.csv,../result/digits/_C_C_sm/digit_4_id_20,0.1354099,1,1,1,1,1,1,1,False,53.0
_C_C_sm,21,197.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/21.csv,../result/digits/_C_C_sm/digit_4_id_21,0.15184137,1,1,1,1,1,1,1,False,196.0
_C_C_sm,22,1.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/22.csv,../result/digits/_C_C_sm/digit_4_id_22,0.11262426,1,1,1,1,1,1,1,True,0.0
_C_C_sm,23,106.0,4,3,../runs/log03-14_23-07_4_C_C_sm/individual_logs/23.csv,../result/digits/_C_C_sm/digit_4_id_23,0.117411286,1,1,1,1,1,1,1,False,105.0
_C_C_sm,24,198.0,4,3,../runs/log03-14_23-07_4_C_C_sm/individual_logs/24.csv,../result/digits/_C_C_sm/digit_4_id_24,0.1537507,1,1,1,1,1,1,1,False,197.0
_C_C_sm,25,118.0,4,1,../runs/log03-14_23-07_4_C_C_sm/individual_logs/25.csv,../result/digits/_C_C_sm/digit_4_id_25,0.1473105,1,1,1,1,1,1,1,False,117.0
_C_C_sm,26,136.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/26.csv,../result/digits/_C_C_sm/digit_4_id_26,0.2047515,0,1,1,1,1,1,1,False,135.0
_C_C_sm,27,82.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/27.csv,../result/digits/_C_C_sm/digit_4_id_27,0.14286894,1,1,1,1,1,1,1,False,81.0
_C_C_sm,28,58.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/28.csv,../result/digits/_C_C_sm/digit_4_id_28,0.17151436,1,1,1,1,1,1,1,False,57.0
_C_C_sm,29,1.0,4,6,../runs/log03-14_23-07_4_C_C_sm/individual_logs/29.csv,../result/digits/_C_C_sm/digit_4_id_29,0.18365182,0,1,1,1,1,1,1,True,0.0
_C_C_sm,30,171.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/30.csv,../result/digits/_C_C_sm/digit_4_id_30,0.14800483,1,1,1,1,1,1,1,False,170.0
_C_C_sm,31,339.0,4,2,../runs/log03-14_23-07_4_C_C_sm/individual_logs/31.csv,../result/digits/_C_C_sm/digit_4_id_31,0.1467023,1,1,1,1,1,1,1,False,338.0
_C_C_sm,32,38.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/32.csv,../result/digits/_C_C_sm/digit_4_id_32,0.114773,1,1,1,1,1,1,1,False,37.0
_C_C_sm,33,293.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/33.csv,../result/digits/_C_C_sm/digit_4_id_33,0.13858575,1,1,1,1,1,1,1,False,292.0
_C_C_sm,34,103.0,4,1,../runs/log03-14_23-07_4_C_C_sm/individual_logs/34.csv,../result/digits/_C_C_sm/digit_4_id_34,0.15806118,1,1,1,1,1,1,1,False,102.0
_C_C_sm,35,231.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/35.csv,../result/digits/_C_C_sm/digit_4_id_35,0.20535403,0,1,1,1,1,1,1,False,230.0
_C_C_sm,36,53.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/36.csv,../result/digits/_C_C_sm/digit_4_id_36,0.22724319,0,1,1,1,1,1,1,False,52.0
_C_C_sm,37,145.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/37.csv,../result/digits/_C_C_sm/digit_4_id_37,0.14822572,1,1,1,1,1,1,1,False,144.0
_C_C_sm,38,60.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/38.csv,../result/digits/_C_C_sm/digit_4_id_38,0.1298062,1,1,1,1,1,1,1,False,59.0
_C_C_sm,39,116.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/39.csv,../result/digits/_C_C_sm/digit_4_id_39,0.11286827,1,1,1,1,1,1,1,False,115.0
_C_C_sm,40,399.0,4,5,../runs/log03-14_23-07_4_C_C_sm/individual_logs/40.csv,../result/digits/_C_C_sm/digit_4_id_40,0.14951254,1,1,1,1,1,1,1,False,398.0
_C_C_sm,41,119.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/41.csv,../result/digits/_C_C_sm/digit_4_id_41,0.17842981,1,1,1,1,1,1,1,False,118.0
_C_C_sm,42,37.0,4,9,../runs/log03-14_23-07_4_C_C_sm/individual_logs/42.csv,../result/digits/_C_C_sm/digit_4_id_42,0.13640042,1,1,1,1,1,1,1,False,36.0
_C_C_sm,43,64.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/43.csv,../result/digits/_C_C_sm/digit_4_id_43,0.13463914,1,1,1,1,1,1,1,False,63.0
_C_C_sm,44,138.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/44.csv,../result/digits/_C_C_sm/digit_4_id_44,0.16813056,1,1,1,1,1,1,1,False,137.0
_C_C_sm,45,79.0,4,1,../runs/log03-14_23-07_4_C_C_sm/individual_logs/45.csv,../result/digits/_C_C_sm/digit_4_id_45,0.12476791,1,1,1,1,1,1,1,False,78.0
_C_C_sm,46,178.0,4,7,../runs/log03-14_23-07_4_C_C_sm/individual_logs/46.csv,../result/digits/_C_C_sm/digit_4_id_46,0.16810101,1,1,1,1,1,1,1,False,177.0
