method,id,mutation_number,expected_label,predicted_label,original_folder,image_path,loss,ID_0.68,ID_0.9,ID_0.95,ID_0.99,ID_0.999,ID_0.9999,ID_0.99999,drop,mutation_number_real
_C_R_GC,0,337.0,7,3,../runs/log03-14_19-24_7_C_R_GC/individual_logs/0.csv,../result/digits/_C_R_GC/digit_7_id_0,0.28912368,0,0,0,1,1,1,1,False,336.0
_C_R_GC,1,143.0,7,2,../runs/log03-14_19-24_7_C_R_GC/individual_logs/1.csv,../result/digits/_C_R_GC/digit_7_id_1,0.34850198,0,0,0,0,1,1,1,False,142.0
_C_R_GC,2,782.0,7,5,../runs/log03-14_19-24_7_C_R_GC/individual_logs/2.csv,../result/digits/_C_R_GC/digit_7_id_2,0.19540621,0,1,1,1,1,1,1,False,781.0
_C_R_GC,3,306.0,7,3,../runs/log03-14_19-24_7_C_R_GC/individual_logs/3.csv,../result/digits/_C_R_GC/digit_7_id_3,0.15111624,1,1,1,1,1,1,1,False,305.0
_C_R_GC,4,290.0,7,4,../runs/log03-14_19-24_7_C_R_GC/individual_logs/4.csv,../result/digits/_C_R_GC/digit_7_id_4,0.2015475,0,1,1,1,1,1,1,False,289.0
_C_R_GC,5,357.0,7,3,../runs/log03-14_19-24_7_C_R_GC/individual_logs/5.csv,../result/digits/_C_R_GC/digit_7_id_5,0.14866044,1,1,1,1,1,1,1,False,356.0
_C_R_GC,6,317.0,7,2,../runs/log03-14_19-24_7_C_R_GC/individual_logs/6.csv,../result/digits/_C_R_GC/digit_7_id_6,0.25435323,0,0,1,1,1,1,1,False,316.0
_C_R_GC,7,74.0,7,3,../runs/log03-14_19-24_7_C_R_GC/individual_logs/7.csv,../result/digits/_C_R_GC/digit_7_id_7,0.20794196,0,1,1,1,1,1,1,False,73.0
_C_R_GC,8,84.0,7,3,../runs/log03-14_19-24_7_C_R_GC/individual_logs/8.csv,../result/digits/_C_R_GC/digit_7_id_8,0.17247227,1,1,1,1,1,1,1,False,83.0
_C_R_GC,9,51.0,7,3,../runs/log03-14_19-24_7_C_R_GC/individual_logs/9.csv,../result/digits/_C_R_GC/digit_7_id_9,0.15770647,1,1,1,1,1,1,1,False,50.0
_C_R_GC,10,269.0,7,2,../runs/log03-14_19-24_7_C_R_GC/individual_logs/10.csv,../result/digits/_C_R_GC/digit_7_id_10,0.14995606,1,1,1,1,1,1,1,False,268.0
