method,id,mutation_number,expected_label,predicted_label,original_folder,image_path,loss,ID_0.68,ID_0.9,ID_0.95,ID_0.99,ID_0.999,ID_0.9999,ID_0.99999,drop,mutation_number_real
_C_R_sm,1,150.0,2,3,../runs/log03-14_17-21_2_C_R_sm/individual_logs/1.csv,../result/digits/_C_R_sm/digit_2_id_1,0.24818724,0,0,1,1,1,1,1,False,149.0
_C_R_sm,2,228.0,2,3,../runs/log03-14_17-21_2_C_R_sm/individual_logs/2.csv,../result/digits/_C_R_sm/digit_2_id_2,0.2927533,0,0,0,1,1,1,1,False,227.0
_C_R_sm,6,48.0,2,3,../runs/log03-14_17-21_2_C_R_sm/individual_logs/6.csv,../result/digits/_C_R_sm/digit_2_id_6,0.2570967,0,0,1,1,1,1,1,False,47.0
_C_R_sm,7,472.0,2,3,../runs/log03-14_17-21_2_C_R_sm/individual_logs/7.csv,../result/digits/_C_R_sm/digit_2_id_7,0.26282462,0,0,1,1,1,1,1,False,471.0
_C_R_sm,10,260.0,2,3,../runs/log03-14_17-21_2_C_R_sm/individual_logs/10.csv,../result/digits/_C_R_sm/digit_2_id_10,0.18927208,0,1,1,1,1,1,1,False,259.0
_C_R_sm,12,597.0,2,3,../runs/log03-14_17-21_2_C_R_sm/individual_logs/12.csv,../result/digits/_C_R_sm/digit_2_id_12,0.22094858,0,1,1,1,1,1,1,False,596.0
_C_R_sm,13,267.0,2,0,../runs/log03-14_17-21_2_C_R_sm/individual_logs/13.csv,../result/digits/_C_R_sm/digit_2_id_13,0.2232935,0,1,1,1,1,1,1,False,266.0
_C_R_sm,14,372.0,2,1,../runs/log03-14_17-21_2_C_R_sm/individual_logs/14.csv,../result/digits/_C_R_sm/digit_2_id_14,0.21140221,0,1,1,1,1,1,1,False,371.0
_C_R_sm,16,546.0,2,1,../runs/log03-14_17-21_2_C_R_sm/individual_logs/16.csv,../result/digits/_C_R_sm/digit_2_id_16,0.25495374,0,0,1,1,1,1,1,False,545.0
_C_R_sm,17,26.0,2,6,../runs/log03-14_17-21_2_C_R_sm/individual_logs/17.csv,../result/digits/_C_R_sm/digit_2_id_17,0.23447298,0,1,1,1,1,1,1,False,25.0
