method,id,mutation_number,expected_label,predicted_label,original_folder,image_path,loss,ID_0.68,ID_0.9,ID_0.95,ID_0.99,ID_0.999,ID_0.9999,ID_0.99999,drop,mutation_number_real
_R_R,0,144.0,7,3,../runs/log03-15_10-28_7_R_R/individual_logs/0.csv,../result/digits/_R_R/digit_7_id_0,0.23937327,0,0,1,1,1,1,1,False,143.0
_R_R,1,813.0,7,4,../runs/log03-15_10-28_7_R_R/individual_logs/1.csv,../result/digits/_R_R/digit_7_id_1,0.40454334,0,0,0,0,0,1,1,False,812.0
_R_R,2,687.0,7,3,../runs/log03-15_10-28_7_R_R/individual_logs/2.csv,../result/digits/_R_R/digit_7_id_2,0.22319871,0,1,1,1,1,1,1,False,686.0
_R_R,3,498.0,7,9,../runs/log03-15_10-28_7_R_R/individual_logs/3.csv,../result/digits/_R_R/digit_7_id_3,0.22229822,0,1,1,1,1,1,1,False,497.0
_R_R,4,314.0,7,2,../runs/log03-15_10-28_7_R_R/individual_logs/4.csv,../result/digits/_R_R/digit_7_id_4,0.25676063,0,0,1,1,1,1,1,False,313.0
_R_R,5,384.0,7,3,../runs/log03-15_10-28_7_R_R/individual_logs/5.csv,../result/digits/_R_R/digit_7_id_5,0.17746072,1,1,1,1,1,1,1,False,383.0
_R_R,6,157.0,7,3,../runs/log03-15_10-28_7_R_R/individual_logs/6.csv,../result/digits/_R_R/digit_7_id_6,0.26124632,0,0,1,1,1,1,1,False,156.0
_R_R,7,962.0,7,4,../runs/log03-15_10-28_7_R_R/individual_logs/7.csv,../result/digits/_R_R/digit_7_id_7,0.36560214,0,0,0,0,1,1,1,False,961.0
_R_R,8,975.0,7,9,../runs/log03-15_10-28_7_R_R/individual_logs/8.csv,../result/digits/_R_R/digit_7_id_8,0.19139159,0,1,1,1,1,1,1,False,974.0
_R_R,9,487.0,7,3,../runs/log03-15_10-28_7_R_R/individual_logs/9.csv,../result/digits/_R_R/digit_7_id_9,0.17090632,1,1,1,1,1,1,1,False,486.0
_R_R,10,153.0,7,3,../runs/log03-15_10-28_7_R_R/individual_logs/10.csv,../result/digits/_R_R/digit_7_id_10,0.18892059,0,1,1,1,1,1,1,False,152.0
_R_R,11,278.0,7,3,../runs/log03-15_10-28_7_R_R/individual_logs/11.csv,../result/digits/_R_R/digit_7_id_11,0.2103022,0,1,1,1,1,1,1,False,277.0
_R_R,12,341.0,7,9,../runs/log03-15_10-28_7_R_R/individual_logs/12.csv,../result/digits/_R_R/digit_7_id_12,0.2886581,0,0,0,1,1,1,1,False,340.0
_R_R,13,574.0,7,2,../runs/log03-15_10-28_7_R_R/individual_logs/13.csv,../result/digits/_R_R/digit_7_id_13,0.36253747,0,0,0,0,1,1,1,False,573.0
_R_R,15,771.0,7,4,../runs/log03-15_10-28_7_R_R/individual_logs/15.csv,../result/digits/_R_R/digit_7_id_15,0.27476668,0,0,0,1,1,1,1,False,770.0
