method,id,mutation_number,expected_label,predicted_label,original_folder,image_path,loss,ID_0.68,ID_0.9,ID_0.95,ID_0.99,ID_0.999,ID_0.9999,ID_0.99999,drop,mutation_number_real
_S_R_FSC,0,702.0,3,2,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/0.csv,../result/digits/_S_R_FSC/digit_3_id_0,0.35770646,0,0,0,0,1,1,1,False,701.0
_S_R_FSC,1,443.0,3,2,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/1.csv,../result/digits/_S_R_FSC/digit_3_id_1,0.43130574,0,0,0,0,0,1,1,False,442.0
_S_R_FSC,3,286.0,3,2,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/3.csv,../result/digits/_S_R_FSC/digit_3_id_3,0.3219977,0,0,0,1,1,1,1,False,285.0
_S_R_FSC,4,240.0,3,9,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/4.csv,../result/digits/_S_R_FSC/digit_3_id_4,0.22072951,0,1,1,1,1,1,1,False,239.0
_S_R_FSC,5,527.0,3,5,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/5.csv,../result/digits/_S_R_FSC/digit_3_id_5,0.19755864,0,1,1,1,1,1,1,False,526.0
_S_R_FSC,7,201.0,3,7,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/7.csv,../result/digits/_S_R_FSC/digit_3_id_7,0.25329822,0,0,1,1,1,1,1,False,200.0
_S_R_FSC,10,286.0,3,4,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/10.csv,../result/digits/_S_R_FSC/digit_3_id_10,0.17782433,1,1,1,1,1,1,1,False,285.0
_S_R_FSC,11,537.0,3,2,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/11.csv,../result/digits/_S_R_FSC/digit_3_id_11,0.25871193,0,0,1,1,1,1,1,False,536.0
_S_R_FSC,12,355.0,3,2,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/12.csv,../result/digits/_S_R_FSC/digit_3_id_12,0.19874845,0,1,1,1,1,1,1,False,354.0
_S_R_FSC,13,821.0,3,7,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/13.csv,../result/digits/_S_R_FSC/digit_3_id_13,0.4662523,0,0,0,0,0,0,1,False,820.0
_S_R_FSC,14,939.0,3,7,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/14.csv,../result/digits/_S_R_FSC/digit_3_id_14,0.21259895,0,1,1,1,1,1,1,False,938.0
_S_R_FSC,15,803.0,3,7,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/15.csv,../result/digits/_S_R_FSC/digit_3_id_15,0.31717685,0,0,0,1,1,1,1,False,802.0
_S_R_FSC,16,574.0,3,4,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/16.csv,../result/digits/_S_R_FSC/digit_3_id_16,0.2645756,0,0,1,1,1,1,1,False,573.0
_S_R_FSC,17,431.0,3,7,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/17.csv,../result/digits/_S_R_FSC/digit_3_id_17,0.30352548,0,0,0,1,1,1,1,False,430.0
_S_R_FSC,18,255.0,3,2,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/18.csv,../result/digits/_S_R_FSC/digit_3_id_18,0.2481429,0,0,1,1,1,1,1,False,254.0
_S_R_FSC,19,742.0,3,5,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/19.csv,../result/digits/_S_R_FSC/digit_3_id_19,0.2683467,0,0,0,1,1,1,1,False,741.0
_S_R_FSC,20,377.0,3,5,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/20.csv,../result/digits/_S_R_FSC/digit_3_id_20,0.1897975,0,1,1,1,1,1,1,False,376.0
_S_R_FSC,21,133.0,3,7,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/21.csv,../result/digits/_S_R_FSC/digit_3_id_21,0.17165744,1,1,1,1,1,1,1,False,132.0
_S_R_FSC,24,737.0,3,7,../runs/log03-14_14-20_3_S_R_FSC/individual_logs/24.csv,../result/digits/_S_R_FSC/digit_3_id_24,0.23387142,0,1,1,1,1,1,1,False,736.0
