method,id,mutation_number,expected_label,predicted_label,original_folder,image_path,loss,ID_0.68,ID_0.9,ID_0.95,ID_0.99,ID_0.999,ID_0.9999,ID_0.99999,drop,mutation_number_real
_S_R_GC,0,188.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/0.csv,../result/digits/_S_R_GC/digit_8_id_0,0.23585027,0,1,1,1,1,1,1,False,187.0
_S_R_GC,1,437.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/1.csv,../result/digits/_S_R_GC/digit_8_id_1,0.24917583,0,0,1,1,1,1,1,False,436.0
_S_R_GC,2,101.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/2.csv,../result/digits/_S_R_GC/digit_8_id_2,0.16369699,1,1,1,1,1,1,1,False,100.0
_S_R_GC,4,101.0,8,7,../runs/log03-14_13-44_8_S_R_GC/individual_logs/4.csv,../result/digits/_S_R_GC/digit_8_id_4,0.18347564,0,1,1,1,1,1,1,False,100.0
_S_R_GC,5,355.0,8,5,../runs/log03-14_13-44_8_S_R_GC/individual_logs/5.csv,../result/digits/_S_R_GC/digit_8_id_5,0.23491536,0,1,1,1,1,1,1,False,354.0
_S_R_GC,6,449.0,8,9,../runs/log03-14_13-44_8_S_R_GC/individual_logs/6.csv,../result/digits/_S_R_GC/digit_8_id_6,0.18476564,0,1,1,1,1,1,1,False,448.0
_S_R_GC,7,426.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/7.csv,../result/digits/_S_R_GC/digit_8_id_7,0.26153836,0,0,1,1,1,1,1,False,425.0
_S_R_GC,9,72.0,8,9,../runs/log03-14_13-44_8_S_R_GC/individual_logs/9.csv,../result/digits/_S_R_GC/digit_8_id_9,0.19272816,0,1,1,1,1,1,1,False,71.0
_S_R_GC,10,27.0,8,1,../runs/log03-14_13-44_8_S_R_GC/individual_logs/10.csv,../result/digits/_S_R_GC/digit_8_id_10,0.1778268,1,1,1,1,1,1,1,False,26.0
_S_R_GC,11,221.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/11.csv,../result/digits/_S_R_GC/digit_8_id_11,0.20517114,0,1,1,1,1,1,1,False,220.0
_S_R_GC,12,81.0,8,4,../runs/log03-14_13-44_8_S_R_GC/individual_logs/12.csv,../result/digits/_S_R_GC/digit_8_id_12,0.26663557,0,0,0,1,1,1,1,False,80.0
_S_R_GC,13,188.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/13.csv,../result/digits/_S_R_GC/digit_8_id_13,0.2381351,0,0,1,1,1,1,1,False,187.0
_S_R_GC,14,187.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/14.csv,../result/digits/_S_R_GC/digit_8_id_14,0.20860034,0,1,1,1,1,1,1,False,186.0
_S_R_GC,15,416.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/15.csv,../result/digits/_S_R_GC/digit_8_id_15,0.16311824,1,1,1,1,1,1,1,False,415.0
_S_R_GC,16,635.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/16.csv,../result/digits/_S_R_GC/digit_8_id_16,0.36071217,0,0,0,0,1,1,1,False,634.0
_S_R_GC,17,315.0,8,0,../runs/log03-14_13-44_8_S_R_GC/individual_logs/17.csv,../result/digits/_S_R_GC/digit_8_id_17,0.19540656,0,1,1,1,1,1,1,False,314.0
_S_R_GC,18,379.0,8,9,../runs/log03-14_13-44_8_S_R_GC/individual_logs/18.csv,../result/digits/_S_R_GC/digit_8_id_18,0.19304702,0,1,1,1,1,1,1,False,378.0
_S_R_GC,19,77.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/19.csv,../result/digits/_S_R_GC/digit_8_id_19,0.21004713,0,1,1,1,1,1,1,False,76.0
_S_R_GC,20,239.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/20.csv,../result/digits/_S_R_GC/digit_8_id_20,0.18676656,0,1,1,1,1,1,1,False,238.0
_S_R_GC,21,401.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/21.csv,../result/digits/_S_R_GC/digit_8_id_21,0.26861513,0,0,0,1,1,1,1,False,400.0
_S_R_GC,22,353.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/22.csv,../result/digits/_S_R_GC/digit_8_id_22,0.3264409,0,0,0,0,1,1,1,False,352.0
_S_R_GC,23,376.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/23.csv,../result/digits/_S_R_GC/digit_8_id_23,0.18966937,0,1,1,1,1,1,1,False,375.0
_S_R_GC,24,60.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/24.csv,../result/digits/_S_R_GC/digit_8_id_24,0.2006075,0,1,1,1,1,1,1,False,59.0
_S_R_GC,25,208.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/25.csv,../result/digits/_S_R_GC/digit_8_id_25,0.23816408,0,0,1,1,1,1,1,False,207.0
_S_R_GC,26,186.0,8,9,../runs/log03-14_13-44_8_S_R_GC/individual_logs/26.csv,../result/digits/_S_R_GC/digit_8_id_26,0.18836798,0,1,1,1,1,1,1,False,185.0
_S_R_GC,27,922.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/27.csv,../result/digits/_S_R_GC/digit_8_id_27,0.36541265,0,0,0,0,1,1,1,False,921.0
_S_R_GC,28,290.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/28.csv,../result/digits/_S_R_GC/digit_8_id_28,0.20660587,0,1,1,1,1,1,1,False,289.0
_S_R_GC,29,785.0,8,6,../runs/log03-14_13-44_8_S_R_GC/individual_logs/29.csv,../result/digits/_S_R_GC/digit_8_id_29,0.3189524,0,0,0,1,1,1,1,False,784.0
_S_R_GC,30,430.0,8,7,../runs/log03-14_13-44_8_S_R_GC/individual_logs/30.csv,../result/digits/_S_R_GC/digit_8_id_30,0.20225327,0,1,1,1,1,1,1,False,429.0
_S_R_GC,31,113.0,8,7,../runs/log03-14_13-44_8_S_R_GC/individual_logs/31.csv,../result/digits/_S_R_GC/digit_8_id_31,0.14131878,1,1,1,1,1,1,1,False,112.0
_S_R_GC,32,288.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/32.csv,../result/digits/_S_R_GC/digit_8_id_32,0.22972044,0,1,1,1,1,1,1,False,287.0
_S_R_GC,33,369.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/33.csv,../result/digits/_S_R_GC/digit_8_id_33,0.20672858,0,1,1,1,1,1,1,False,368.0
_S_R_GC,34,163.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/34.csv,../result/digits/_S_R_GC/digit_8_id_34,0.2731392,0,0,0,1,1,1,1,False,162.0
_S_R_GC,35,326.0,8,1,../runs/log03-14_13-44_8_S_R_GC/individual_logs/35.csv,../result/digits/_S_R_GC/digit_8_id_35,0.23034924,0,1,1,1,1,1,1,False,325.0
_S_R_GC,36,1.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/36.csv,../result/digits/_S_R_GC/digit_8_id_36,0.2198174,0,1,1,1,1,1,1,True,0.0
_S_R_GC,37,343.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/37.csv,../result/digits/_S_R_GC/digit_8_id_37,0.22023289,0,1,1,1,1,1,1,False,342.0
_S_R_GC,38,2.0,8,1,../runs/log03-14_13-44_8_S_R_GC/individual_logs/38.csv,../result/digits/_S_R_GC/digit_8_id_38,0.17450178,1,1,1,1,1,1,1,False,1.0
_S_R_GC,39,1.0,8,0,../runs/log03-14_13-44_8_S_R_GC/individual_logs/39.csv,../result/digits/_S_R_GC/digit_8_id_39,0.30460882,0,0,0,1,1,1,1,True,0.0
_S_R_GC,40,402.0,8,5,../runs/log03-14_13-44_8_S_R_GC/individual_logs/40.csv,../result/digits/_S_R_GC/digit_8_id_40,0.23985009,0,0,1,1,1,1,1,False,401.0
_S_R_GC,41,252.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/41.csv,../result/digits/_S_R_GC/digit_8_id_41,0.16343142,1,1,1,1,1,1,1,False,251.0
_S_R_GC,42,1.0,8,9,../runs/log03-14_13-44_8_S_R_GC/individual_logs/42.csv,../result/digits/_S_R_GC/digit_8_id_42,0.17364708,1,1,1,1,1,1,1,True,0.0
_S_R_GC,43,101.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/43.csv,../result/digits/_S_R_GC/digit_8_id_43,0.16590399,1,1,1,1,1,1,1,False,100.0
_S_R_GC,44,329.0,8,7,../runs/log03-14_13-44_8_S_R_GC/individual_logs/44.csv,../result/digits/_S_R_GC/digit_8_id_44,0.26288676,0,0,1,1,1,1,1,False,328.0
_S_R_GC,46,229.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/46.csv,../result/digits/_S_R_GC/digit_8_id_46,0.23329253,0,1,1,1,1,1,1,False,228.0
_S_R_GC,47,258.0,8,0,../runs/log03-14_13-44_8_S_R_GC/individual_logs/47.csv,../result/digits/_S_R_GC/digit_8_id_47,0.23957571,0,0,1,1,1,1,1,False,257.0
_S_R_GC,48,63.0,8,5,../runs/log03-14_13-44_8_S_R_GC/individual_logs/48.csv,../result/digits/_S_R_GC/digit_8_id_48,0.16601942,1,1,1,1,1,1,1,False,62.0
_S_R_GC,49,597.0,8,7,../runs/log03-14_13-44_8_S_R_GC/individual_logs/49.csv,../result/digits/_S_R_GC/digit_8_id_49,0.4237969,0,0,0,0,0,1,1,False,596.0
_S_R_GC,50,257.0,8,5,../runs/log03-14_13-44_8_S_R_GC/individual_logs/50.csv,../result/digits/_S_R_GC/digit_8_id_50,0.24404806,0,0,1,1,1,1,1,False,256.0
_S_R_GC,51,241.0,8,1,../runs/log03-14_13-44_8_S_R_GC/individual_logs/51.csv,../result/digits/_S_R_GC/digit_8_id_51,0.16861153,1,1,1,1,1,1,1,False,240.0
_S_R_GC,52,38.0,8,1,../runs/log03-14_13-44_8_S_R_GC/individual_logs/52.csv,../result/digits/_S_R_GC/digit_8_id_52,0.15267669,1,1,1,1,1,1,1,False,37.0
_S_R_GC,53,379.0,8,5,../runs/log03-14_13-44_8_S_R_GC/individual_logs/53.csv,../result/digits/_S_R_GC/digit_8_id_53,0.15969728,1,1,1,1,1,1,1,False,378.0
_S_R_GC,54,178.0,8,2,../runs/log03-14_13-44_8_S_R_GC/individual_logs/54.csv,../result/digits/_S_R_GC/digit_8_id_54,0.15429819,1,1,1,1,1,1,1,False,177.0
_S_R_GC,55,107.0,8,9,../runs/log03-14_13-44_8_S_R_GC/individual_logs/55.csv,../result/digits/_S_R_GC/digit_8_id_55,0.19746742,0,1,1,1,1,1,1,False,106.0
_S_R_GC,56,337.0,8,9,../runs/log03-14_13-44_8_S_R_GC/individual_logs/56.csv,../result/digits/_S_R_GC/digit_8_id_56,0.22108375,0,1,1,1,1,1,1,False,336.0
_S_R_GC,57,225.0,8,3,../runs/log03-14_13-44_8_S_R_GC/individual_logs/57.csv,../result/digits/_S_R_GC/digit_8_id_57,0.20963508,0,1,1,1,1,1,1,False,224.0
