method,id,mutation_number,expected_label,predicted_label,original_folder,image_path,loss,ID_0.68,ID_0.9,ID_0.95,ID_0.99,ID_0.999,ID_0.9999,ID_0.99999,drop,mutation_number_real
_S_R_sm,1,15.0,8,0,../runs/log03-14_13-09_8_S_R_sm/individual_logs/1.csv,../result/digits/_S_R_sm/digit_8_id_1,0.21255177,0,1,1,1,1,1,1,False,14.0
_S_R_sm,2,236.0,8,5,../runs/log03-14_13-09_8_S_R_sm/individual_logs/2.csv,../result/digits/_S_R_sm/digit_8_id_2,0.1734756,1,1,1,1,1,1,1,False,235.0
_S_R_sm,4,184.0,8,9,../runs/log03-14_13-09_8_S_R_sm/individual_logs/4.csv,../result/digits/_S_R_sm/digit_8_id_4,0.1869578,0,1,1,1,1,1,1,False,183.0
_S_R_sm,5,15.0,8,2,../runs/log03-14_13-09_8_S_R_sm/individual_logs/5.csv,../result/digits/_S_R_sm/digit_8_id_5,0.23236352,0,1,1,1,1,1,1,False,14.0
_S_R_sm,6,219.0,8,0,../runs/log03-14_13-09_8_S_R_sm/individual_logs/6.csv,../result/digits/_S_R_sm/digit_8_id_6,0.16279559,1,1,1,1,1,1,1,False,218.0
_S_R_sm,7,193.0,8,5,../runs/log03-14_13-09_8_S_R_sm/individual_logs/7.csv,../result/digits/_S_R_sm/digit_8_id_7,0.19807601,0,1,1,1,1,1,1,False,192.0
_S_R_sm,8,172.0,8,3,../runs/log03-14_13-09_8_S_R_sm/individual_logs/8.csv,../result/digits/_S_R_sm/digit_8_id_8,0.21601978,0,1,1,1,1,1,1,False,171.0
_S_R_sm,9,338.0,8,2,../runs/log03-14_13-09_8_S_R_sm/individual_logs/9.csv,../result/digits/_S_R_sm/digit_8_id_9,0.17766435,1,1,1,1,1,1,1,False,337.0
_S_R_sm,10,126.0,8,1,../runs/log03-14_13-09_8_S_R_sm/individual_logs/10.csv,../result/digits/_S_R_sm/digit_8_id_10,0.18819879,0,1,1,1,1,1,1,False,125.0
_S_R_sm,11,201.0,8,5,../runs/log03-14_13-09_8_S_R_sm/individual_logs/11.csv,../result/digits/_S_R_sm/digit_8_id_11,0.23369794,0,1,1,1,1,1,1,False,200.0
_S_R_sm,12,281.0,8,2,../runs/log03-14_13-09_8_S_R_sm/individual_logs/12.csv,../result/digits/_S_R_sm/digit_8_id_12,0.2991957,0,0,0,1,1,1,1,False,280.0
_S_R_sm,13,170.0,8,5,../runs/log03-14_13-09_8_S_R_sm/individual_logs/13.csv,../result/digits/_S_R_sm/digit_8_id_13,0.15330692,1,1,1,1,1,1,1,False,169.0
_S_R_sm,17,30.0,8,6,../runs/log03-14_13-09_8_S_R_sm/individual_logs/17.csv,../result/digits/_S_R_sm/digit_8_id_17,0.18226904,1,1,1,1,1,1,1,False,29.0
_S_R_sm,19,210.0,8,6,../runs/log03-14_13-09_8_S_R_sm/individual_logs/19.csv,../result/digits/_S_R_sm/digit_8_id_19,0.23734176,0,1,1,1,1,1,1,False,209.0
_S_R_sm,20,503.0,8,6,../runs/log03-14_13-09_8_S_R_sm/individual_logs/20.csv,../result/digits/_S_R_sm/digit_8_id_20,0.211301,0,1,1,1,1,1,1,False,502.0
_S_R_sm,21,368.0,8,7,../runs/log03-14_13-09_8_S_R_sm/individual_logs/21.csv,../result/digits/_S_R_sm/digit_8_id_21,0.27612662,0,0,0,1,1,1,1,False,367.0
_S_R_sm,23,53.0,8,3,../runs/log03-14_13-09_8_S_R_sm/individual_logs/23.csv,../result/digits/_S_R_sm/digit_8_id_23,0.19049586,0,1,1,1,1,1,1,False,52.0
_S_R_sm,24,115.0,8,3,../runs/log03-14_13-09_8_S_R_sm/individual_logs/24.csv,../result/digits/_S_R_sm/digit_8_id_24,0.18952715,0,1,1,1,1,1,1,False,114.0
_S_R_sm,26,223.0,8,5,../runs/log03-14_13-09_8_S_R_sm/individual_logs/26.csv,../result/digits/_S_R_sm/digit_8_id_26,0.18509145,0,1,1,1,1,1,1,False,222.0
_S_R_sm,27,428.0,8,9,../runs/log03-14_13-09_8_S_R_sm/individual_logs/27.csv,../result/digits/_S_R_sm/digit_8_id_27,0.2072275,0,1,1,1,1,1,1,False,427.0
_S_R_sm,30,50.0,8,3,../runs/log03-14_13-09_8_S_R_sm/individual_logs/30.csv,../result/digits/_S_R_sm/digit_8_id_30,0.15895502,1,1,1,1,1,1,1,False,49.0
_S_R_sm,31,123.0,8,3,../runs/log03-14_13-09_8_S_R_sm/individual_logs/31.csv,../result/digits/_S_R_sm/digit_8_id_31,0.1534183,1,1,1,1,1,1,1,False,122.0
_S_R_sm,33,205.0,8,3,../runs/log03-14_13-09_8_S_R_sm/individual_logs/33.csv,../result/digits/_S_R_sm/digit_8_id_33,0.15902622,1,1,1,1,1,1,1,False,204.0
