,0,1,2,3,4,5,6,7,8,9,total
0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,2,1,3,1,5,6,23
2,2,1,1,1,2,1,3,1,6,6,24
3,2,2,1,1,2,1,3,2,6,6,26
4,2,2,1,1,2,1,3,2,6,6,26
5,2,2,1,1,2,1,4,2,7,6,28
6,2,2,1,1,2,2,4,2,7,7,30
7,2,2,1,1,2,2,4,2,7,7,30
8,2,2,1,1,2,2,4,2,9,7,32
9,2,2,1,2,2,2,4,2,9,9,35
10,2,2,1,2,2,2,4,2,10,10,37
11,3,2,1,2,2,3,4,2,10,10,39
12,3,2,1,2,2,3,4,2,10,10,39
13,3,2,1,2,2,3,4,2,10,10,39
14,3,2,1,2,2,3,4,2,10,11,40
15,3,2,1,2,2,3,4,2,10,11,40
16,3,3,1,2,2,3,4,2,10,12,42
17,3,3,1,2,2,3,4,2,10,12,42
18,3,3,1,2,2,3,4,2,10,13,43
19,3,3,1,2,2,3,4,3,10,14,45
20,4,3,1,2,2,4,4,4,10,14,48
21,4,3,1,2,2,4,4,4,10,14,48
22,5,5,1,2,2,4,6,4,11,14,54
23,5,7,1,2,2,4,6,4,11,14,56
24,5,9,1,2,2,4,6,4,12,16,61
25,5,9,1,2,2,5,6,4,12,17,63
26,5,10,1,2,2,5,7,4,12,17,65
27,6,10,1,2,3,5,7,4,12,17,67
28,6,12,1,2,3,5,7,4,12,19,71
29,6,15,1,2,3,6,8,4,12,19,76
30,6,16,1,2,3,7,8,5,13,20,81
31,6,16,1,2,3,8,8,6,15,21,86
32,6,19,2,3,3,9,8,6,16,21,93
33,7,20,2,3,3,9,8,6,17,22,97
34,7,20,3,3,3,9,8,7,17,23,100
35,7,20,3,4,3,9,9,7,17,24,103
36,7,20,3,4,3,9,9,8,17,26,106
37,8,21,3,4,5,10,10,8,18,27,114
38,8,22,3,4,5,11,10,8,18,29,118
39,11,27,3,4,6,11,10,8,20,30,130
40,11,32,3,4,6,11,10,8,22,34,141
41,11,33,3,4,6,12,10,8,23,34,144
42,11,37,4,5,7,12,11,8,24,37,156
43,11,39,4,5,7,13,12,8,25,40,164
44,11,40,4,5,7,14,12,8,26,40,167
45,11,43,4,5,7,16,12,8,26,41,173
46,13,45,4,5,9,16,13,8,27,42,182
47,13,50,4,6,10,16,14,8,28,48,197
48,14,53,5,6,10,17,15,8,30,48,206
49,15,53,7,6,10,17,17,8,32,53,218
50,15,54,7,6,11,17,17,9,34,55,225
51,17,54,8,6,12,17,20,9,35,58,236
52,17,56,8,6,12,17,20,11,37,58,242
53,17,59,8,6,12,17,21,12,40,60,252
54,18,62,9,7,13,19,21,12,41,60,262
55,18,66,9,7,13,19,21,12,45,62,272
56,18,68,10,7,14,21,21,13,46,62,280
57,19,69,11,9,14,22,22,13,47,64,290
58,20,72,11,9,14,22,22,13,47,65,295
59,21,76,12,9,14,22,23,13,50,67,307
60,21,78,12,9,15,23,24,14,50,70,316
61,22,83,12,9,15,24,24,15,53,72,329
62,22,84,14,9,16,24,24,16,54,75,338
63,26,86,14,9,16,25,24,16,54,78,348
64,27,86,14,10,16,25,25,16,54,79,352
65,28,88,15,10,16,26,25,16,56,84,364
66,31,92,15,10,16,28,26,16,57,86,377
67,35,96,15,10,17,29,26,16,59,87,390
68,36,99,17,10,18,32,26,16,60,87,401
69,36,102,17,10,20,32,27,16,61,87,408
70,39,103,17,10,20,32,27,16,65,89,418
71,39,111,17,10,20,33,28,16,68,89,431
72,39,112,17,10,20,35,32,16,69,92,442
73,46,112,17,10,20,36,32,16,71,93,453
74,49,115,17,10,20,37,34,17,71,95,465
75,52,118,17,10,20,38,35,17,74,96,477
76,52,119,17,10,21,41,35,19,77,97,488
77,53,120,17,11,22,43,35,19,77,102,499
78,54,120,17,11,22,43,36,19,78,106,506
79,55,120,17,11,22,43,37,20,80,110,515
80,58,121,17,11,23,44,38,21,81,113,527
81,60,123,18,12,25,45,38,21,84,113,539
82,60,124,18,12,25,46,40,23,85,114,547
83,61,125,18,13,25,47,42,23,86,116,556
84,62,126,18,13,25,47,44,23,87,117,562
85,63,126,19,13,25,47,46,24,88,118,569
86,63,126,19,13,26,48,46,24,88,122,575
87,63,127,19,14,26,49,46,24,90,125,583
88,64,128,19,14,26,52,46,24,92,127,592
89,65,129,19,15,27,52,46,25,92,128,598
90,66,132,20,15,27,52,46,25,92,128,603
91,67,132,22,15,27,52,48,25,94,129,611
92,68,134,22,15,27,54,48,25,96,130,619
93,71,136,24,15,28,56,50,25,96,131,632
94,75,138,24,17,30,56,51,25,98,133,647
95,76,138,25,17,32,58,53,25,98,135,657
96,79,140,26,17,35,59,55,26,100,135,672
97,79,141,26,17,37,60,56,27,101,135,679
98,81,143,26,18,37,62,58,27,101,135,688
99,83,144,26,19,38,66,61,28,103,136,704
100,85,146,28,19,38,67,61,31,105,138,718
101,90,147,29,21,39,68,62,31,106,138,731
102,93,149,31,22,39,71,62,31,106,138,742
103,95,149,34,23,39,71,62,32,107,141,753
104,100,151,34,23,41,72,62,32,107,143,765
105,100,153,34,24,42,75,63,34,109,144,778
106,101,153,34,24,42,76,64,35,113,146,788
107,105,153,34,24,42,77,66,35,113,147,796
108,111,154,35,25,42,78,66,36,115,149,811
109,111,154,35,26,45,78,66,36,116,151,818
110,112,154,35,26,45,80,66,37,116,153,824
111,115,155,36,27,46,81,67,37,120,154,838
112,116,156,38,29,47,82,69,37,120,155,849
113,118,157,39,30,51,84,70,37,122,156,864
114,121,158,39,31,53,85,72,37,125,156,877
115,124,159,40,32,53,85,75,39,126,156,889
116,125,159,41,32,53,85,77,39,126,157,894
117,127,159,44,32,55,87,78,41,129,158,910
118,131,159,46,33,55,89,80,42,130,158,923
119,131,159,46,33,55,91,81,42,130,158,926
120,133,159,46,36,56,93,82,42,131,158,936
121,134,159,47,36,56,94,84,42,131,159,942
122,135,159,48,36,57,95,84,42,133,159,948
123,137,160,50,36,57,95,84,43,133,161,956
124,137,161,51,37,57,96,86,43,135,162,965
125,141,163,51,37,57,97,86,43,138,162,975
126,143,165,52,38,57,98,89,43,140,163,988
127,144,165,53,40,60,101,90,45,141,163,1002
128,146,165,53,41,60,104,92,46,142,163,1012
129,147,165,54,41,60,105,92,48,142,165,1019
130,147,165,55,41,61,107,93,48,142,165,1024
131,149,165,55,41,62,109,95,48,143,165,1032
132,150,165,56,42,63,110,97,48,143,167,1041
133,151,165,57,42,63,112,97,49,145,168,1049
134,152,166,58,42,64,113,97,50,145,169,1056
135,156,166,58,43,64,114,97,52,148,169,1067
136,156,166,60,43,64,116,97,52,149,172,1075
137,157,167,60,44,65,118,99,52,150,173,1085
138,159,167,61,44,66,119,100,52,151,174,1093
139,159,168,64,44,66,121,100,52,154,174,1102
140,160,168,64,44,67,122,103,53,156,175,1112
141,161,170,64,46,67,123,105,53,156,176,1121
142,165,171,65,47,68,125,107,53,156,177,1134
143,165,171,66,47,70,127,107,53,157,177,1140
144,166,171,66,47,70,130,107,55,157,177,1146
145,166,171,66,49,70,131,108,59,157,178,1155
146,166,171,67,49,71,132,108,59,157,178,1158
147,169,171,68,50,75,132,109,60,159,179,1172
148,170,171,69,50,76,132,109,60,159,181,1177
149,170,172,69,51,77,133,109,60,160,181,1182
150,170,173,69,52,77,133,110,63,161,181,1189
151,170,174,69,53,79,133,112,63,161,181,1195
152,171,174,70,54,80,136,115,64,161,181,1206
