,0,1,2,3,4,5,6,7,8,9,total
0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,2,1,3,1,5,6,23
2,2,1,1,1,2,2,3,1,6,6,25
3,2,1,1,1,2,2,3,1,6,6,25
4,2,1,1,2,2,2,3,1,6,7,27
5,2,1,1,2,2,2,3,2,7,8,30
6,2,1,1,2,2,2,3,2,7,9,31
7,2,1,1,2,2,3,3,2,7,9,32
8,3,1,1,2,2,3,3,3,8,9,35
9,3,1,1,2,2,3,3,4,8,10,37
10,3,1,1,2,2,4,3,4,10,10,40
11,3,1,1,2,2,4,3,4,10,12,42
12,3,2,2,2,2,4,3,4,11,13,46
13,3,3,2,2,2,4,3,4,11,14,48
14,3,4,2,2,2,5,4,4,12,15,53
15,3,4,2,2,2,5,4,4,12,15,53
16,3,4,2,3,3,5,4,5,12,17,58
17,3,5,2,3,3,6,5,5,12,17,61
18,3,5,2,3,3,7,6,5,13,18,65
19,3,6,2,4,3,7,7,5,15,21,73
20,3,7,3,4,3,7,7,5,17,24,80
21,3,8,3,4,4,7,7,5,19,27,87
22,3,9,3,4,4,8,9,5,19,29,93
23,3,11,3,4,4,8,10,5,20,30,98
24,3,13,3,4,4,10,11,5,23,31,107
25,6,13,3,5,4,10,13,5,24,32,115
26,6,14,3,5,4,11,15,5,24,33,120
27,8,18,3,6,4,11,16,5,24,34,129
28,8,20,3,6,4,12,18,5,27,36,139
29,9,24,3,7,4,14,18,5,27,38,149
30,9,26,3,7,4,16,18,5,28,40,156
31,9,29,3,7,4,16,22,5,29,41,165
32,9,31,5,7,5,18,23,5,31,44,178
33,10,32,5,8,6,20,24,6,33,47,191
34,10,34,5,8,7,20,24,6,34,48,196
35,10,36,5,8,7,22,24,6,35,50,203
36,12,37,5,8,7,24,25,8,36,51,213
37,13,38,7,8,9,28,25,8,37,53,226
38,14,43,7,8,10,29,26,8,39,56,240
39,14,47,7,8,10,31,27,9,40,58,251
40,16,49,7,8,11,34,28,10,42,58,263
41,17,51,8,8,11,34,30,10,45,60,274
42,17,54,8,8,11,36,30,10,47,62,283
43,19,55,8,8,12,36,32,10,47,62,289
44,20,56,8,8,12,37,32,11,48,66,298
45,22,56,9,8,15,37,32,11,48,67,305
46,22,58,9,8,16,40,33,13,50,69,318
47,23,60,9,8,16,44,33,13,50,70,326
48,24,61,9,8,16,47,35,13,52,73,338
49,26,61,9,8,16,50,35,13,54,75,347
50,27,62,9,8,17,51,35,15,54,79,357
51,29,64,9,8,18,52,37,15,55,80,367
52,32,66,9,9,18,57,38,16,55,83,383
53,33,68,9,9,20,59,38,16,55,85,392
54,33,71,9,10,23,61,40,16,58,87,408
55,35,72,10,10,25,63,40,16,59,91,421
56,38,74,10,10,25,63,43,16,60,91,430
57,38,76,10,10,25,64,43,16,61,95,438
58,41,77,11,11,26,65,45,16,61,98,451
59,43,77,11,11,26,69,47,16,65,100,465
60,48,77,11,11,27,71,48,16,66,104,479
61,48,79,11,12,27,75,50,16,68,107,493
62,51,79,13,13,29,75,50,16,70,109,505
63,54,79,14,13,30,78,50,16,70,110,514
64,57,80,15,13,33,81,50,16,70,112,527
65,58,82,15,14,33,84,51,16,72,114,539
66,60,82,15,14,33,87,52,16,72,117,548
67,61,83,16,16,34,89,53,16,72,121,561
68,61,84,16,16,34,91,54,16,77,127,576
69,61,87,17,16,35,94,55,16,77,129,587
70,61,88,18,17,35,99,57,16,77,131,599
71,61,89,19,17,38,100,57,16,77,134,608
72,64,90,19,18,40,102,58,16,79,137,623
73,64,90,19,19,41,104,59,17,81,137,631
74,68,92,19,19,41,105,60,17,85,138,644
75,71,94,19,19,43,108,61,17,85,138,655
76,74,96,21,19,44,109,62,18,86,140,669
77,76,96,21,19,47,112,63,18,86,141,679
78,76,97,21,19,48,113,63,18,88,141,684
79,77,99,21,19,49,116,64,18,90,143,696
80,78,101,22,20,50,118,66,18,91,144,708
81,82,103,22,21,50,121,66,18,91,146,720
82,84,104,22,21,52,122,67,18,93,150,733
83,85,105,23,22,54,125,67,18,94,153,746
84,86,106,23,23,55,126,69,18,96,154,756
85,86,107,25,25,56,126,70,19,96,154,764
86,88,107,27,25,57,127,71,19,96,155,772
87,88,107,27,26,57,128,72,19,96,156,776
88,88,107,28,28,59,128,73,19,98,156,784
89,91,107,28,28,59,128,74,19,98,158,790
90,93,108,29,30,59,130,75,19,100,159,802
91,94,108,31,31,61,130,77,21,100,160,813
92,97,108,31,32,61,131,77,22,102,161,822
93,99,109,32,34,62,131,78,22,102,162,831
94,99,110,32,35,62,132,78,22,102,162,834
95,100,110,32,35,62,132,79,22,102,166,840
96,101,111,33,37,63,134,80,22,102,166,849
97,102,111,33,40,64,134,81,23,103,166,857
98,103,113,33,40,64,136,84,23,104,167,867
99,103,114,34,42,66,138,84,23,104,169,877
100,104,114,34,43,66,138,85,24,105,170,883
101,107,115,35,43,68,138,85,27,107,171,896
102,109,116,37,44,69,139,87,27,107,171,906
103,113,117,38,45,70,139,89,27,109,171,918
104,115,118,40,47,70,142,89,27,110,171,929
105,117,120,40,49,70,142,90,27,110,171,936
106,121,120,40,49,72,142,91,28,110,172,945
107,121,121,40,50,73,143,91,28,112,174,953
108,122,121,40,50,73,145,92,28,112,175,958
109,122,121,41,52,75,146,92,28,113,175,965
110,124,123,42,52,75,147,95,28,115,177,978
111,125,123,43,54,76,151,95,28,116,177,988
112,126,123,44,57,81,151,96,28,116,177,999
113,126,123,44,57,81,151,100,28,117,178,1005
114,126,124,46,60,82,152,100,30,119,179,1018
115,129,125,46,61,83,155,101,30,120,180,1030
116,130,125,46,61,86,156,104,31,121,180,1040
117,130,125,47,62,87,158,104,31,124,181,1049
118,132,125,47,65,90,159,104,31,125,181,1059
119,132,125,49,65,93,160,105,33,126,182,1070
120,132,127,50,66,93,161,106,34,126,183,1078
121,132,127,53,67,93,161,106,36,126,184,1085
122,133,129,55,68,94,161,107,36,126,184,1093
123,135,129,55,68,94,163,109,36,126,184,1099
124,135,130,55,71,94,163,109,36,126,184,1103
125,135,130,55,71,97,163,110,36,128,184,1109
126,136,130,56,71,97,164,110,36,128,184,1112
127,139,130,56,72,98,164,110,36,128,185,1118
128,140,130,57,72,99,164,110,38,130,185,1125
129,141,130,57,73,100,164,111,39,132,186,1133
130,141,130,58,75,100,167,111,40,133,186,1141
131,141,131,61,76,101,167,111,40,133,186,1147
132,142,133,62,77,101,167,113,40,133,186,1154
133,143,133,63,78,101,168,113,40,133,188,1160
134,145,133,63,79,101,168,113,40,133,188,1163
135,148,134,64,81,101,171,114,40,133,190,1176
136,149,134,66,82,104,171,114,41,133,192,1186
137,150,134,67,84,105,171,115,42,133,192,1193
138,151,134,68,86,109,171,116,42,133,192,1202
139,153,134,68,86,109,172,116,43,134,192,1207
140,157,134,69,88,109,172,118,43,136,192,1218
141,159,135,69,89,109,173,119,43,136,192,1224
142,160,135,70,91,110,173,119,45,137,192,1232
143,161,135,70,93,112,175,121,46,137,192,1242
144,161,135,71,94,112,175,123,46,138,193,1248
145,163,135,71,95,114,175,124,46,138,193,1254
146,164,135,72,95,114,176,127,46,139,194,1262
147,167,135,72,95,114,177,127,46,139,195,1267
148,169,136,72,96,115,177,127,46,140,196,1274
149,169,136,72,96,118,177,128,46,142,197,1281
150,169,137,74,97,118,179,130,46,143,197,1290
151,169,137,74,99,118,179,131,46,143,197,1293
