,0,1,2,3,4,5,6,7,8,9,total
0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,2,1,3,1,5,6,23
2,2,2,1,1,2,1,3,1,6,7,26
3,2,2,1,1,2,2,3,1,6,7,27
4,2,3,1,1,2,2,3,1,6,7,28
5,2,3,1,1,2,2,3,1,6,7,28
6,2,3,1,2,2,3,3,1,7,7,31
7,2,3,1,2,2,3,3,1,7,7,31
8,2,3,1,2,2,3,4,1,7,7,32
9,2,3,1,2,2,3,4,1,7,8,33
10,2,3,1,2,2,3,4,1,8,9,35
11,2,3,1,2,2,3,4,1,9,10,37
12,2,3,1,2,2,3,4,2,10,10,39
13,2,3,1,2,2,3,4,3,11,11,42
14,2,3,1,2,2,3,4,4,11,12,44
15,3,3,2,2,2,3,4,4,11,13,47
16,3,3,2,2,2,4,4,4,11,13,48
17,3,3,2,2,2,4,4,4,12,13,49
18,3,4,3,2,2,4,5,4,12,13,52
19,3,5,3,2,2,4,5,4,14,14,56
20,3,5,3,2,2,5,5,4,14,14,57
21,3,5,3,2,2,5,5,5,14,15,59
22,3,5,3,2,2,5,5,5,14,15,59
23,3,5,3,2,2,5,5,6,14,16,61
24,3,6,3,2,3,5,6,6,14,18,66
25,3,6,3,2,3,5,6,6,14,19,67
26,4,6,5,3,3,5,6,6,14,19,71
27,4,6,6,3,3,5,7,6,14,19,73
28,4,6,6,3,3,5,7,6,14,19,73
29,4,7,6,3,3,5,7,6,15,20,76
30,4,7,7,3,3,5,7,6,16,20,78
31,4,8,7,3,3,6,7,6,16,20,80
32,4,8,7,3,3,6,7,6,16,20,80
33,4,8,7,3,3,6,7,6,16,20,80
34,4,8,7,3,3,6,7,6,17,20,81
35,4,8,7,3,3,6,7,7,17,21,83
36,4,8,7,3,3,6,8,7,17,23,86
37,4,9,7,3,3,6,8,7,21,23,91
38,4,10,7,3,3,6,8,7,21,23,92
39,4,10,7,3,3,6,8,9,21,23,94
40,5,10,7,3,3,6,8,9,21,24,96
41,5,10,7,3,3,6,8,9,23,25,99
42,5,10,7,3,4,6,8,9,23,25,100
43,5,11,7,3,4,7,8,9,23,26,103
44,5,11,7,3,4,7,8,9,24,26,104
45,5,11,7,3,4,7,8,9,24,26,104
46,5,11,7,3,4,7,8,10,25,26,106
47,5,11,7,3,4,7,8,10,25,27,107
48,5,11,8,4,4,7,8,11,26,27,111
49,5,11,8,4,4,7,8,11,27,28,113
50,5,11,8,4,4,7,8,11,27,30,115
51,5,13,8,4,5,7,8,11,28,31,120
52,5,13,8,4,5,7,8,11,29,31,121
53,5,13,8,4,6,7,8,12,30,31,124
54,5,13,8,4,6,7,8,12,30,31,124
55,5,13,8,4,6,7,8,12,30,31,124
56,5,13,8,5,6,7,8,12,30,34,128
57,5,13,8,5,6,7,8,12,30,34,128
58,6,13,8,5,6,7,8,12,30,34,129
59,6,13,8,5,6,7,8,13,30,34,130
60,6,14,9,5,6,7,8,13,32,34,134
61,6,14,9,5,6,7,8,13,32,34,134
62,6,14,9,5,7,7,8,13,33,37,139
63,6,14,9,5,8,7,8,14,33,37,141
64,6,14,9,5,8,8,8,14,33,37,142
65,7,15,10,5,8,8,8,14,33,38,146
66,7,16,10,5,8,8,9,14,33,38,148
67,7,16,10,5,8,8,9,14,33,38,148
68,7,16,10,5,8,8,9,15,33,38,149
69,7,17,10,5,8,8,9,15,34,39,152
70,7,18,10,5,9,8,10,15,34,41,157
71,7,18,11,5,9,8,10,15,36,41,160
72,7,18,11,5,9,9,10,16,37,41,163
73,8,18,12,5,9,9,10,16,37,41,165
74,8,18,12,5,9,9,10,16,38,41,166
75,9,18,12,5,9,9,10,16,39,43,170
76,9,18,12,5,10,9,10,16,40,43,172
77,9,18,12,5,11,9,11,16,41,44,176
78,9,18,13,5,11,9,11,16,41,44,177
79,9,19,13,5,11,9,11,16,41,45,179
80,9,19,13,5,11,10,11,16,41,45,180
81,9,19,13,6,11,11,12,16,41,46,184
82,9,19,13,6,12,11,12,17,41,47,187
83,9,20,13,6,13,11,12,18,42,49,193
84,9,20,13,6,14,11,12,18,42,49,194
85,9,20,13,6,15,12,12,18,42,54,201
86,9,21,13,6,15,12,13,19,42,55,205
87,9,21,13,6,15,12,13,19,42,55,205
88,9,21,13,6,15,13,13,19,43,56,208
89,9,21,13,6,15,13,13,19,44,56,209
90,9,23,13,6,15,13,13,19,45,57,213
91,9,23,13,7,15,13,13,22,45,57,217
92,9,23,13,7,16,14,13,22,45,57,219
93,11,23,13,7,16,14,13,22,45,58,222
94,12,23,14,8,16,14,13,23,46,58,227
95,13,23,14,8,16,14,14,23,46,58,229
96,13,23,14,8,16,14,15,23,47,59,232
97,13,24,14,8,16,14,15,24,47,61,236
98,13,25,14,8,17,14,15,25,48,61,240
99,13,26,14,8,17,14,15,25,48,62,242
100,13,26,14,8,17,14,15,25,48,62,242
101,13,26,14,8,17,14,15,25,48,62,242
102,13,28,14,8,17,14,15,25,50,62,246
103,13,28,14,8,17,14,15,25,50,62,246
104,13,29,14,8,17,14,15,26,50,62,248
105,13,29,14,8,17,15,15,26,51,63,251
106,13,29,14,8,17,16,15,26,51,63,252
107,13,31,14,8,17,16,15,26,52,63,255
108,13,31,16,8,17,16,15,26,53,63,258
109,13,31,17,8,17,18,16,26,53,63,262
110,13,31,17,8,18,18,16,26,53,63,263
111,13,32,17,8,18,18,17,26,53,65,267
112,14,32,17,9,19,18,17,26,53,66,271
113,14,32,17,9,20,18,17,26,54,66,273
114,14,34,17,9,20,18,17,26,55,67,277
115,14,35,17,9,20,19,18,26,56,68,282
116,14,35,17,9,20,19,19,26,56,68,283
117,14,35,17,9,20,20,20,26,56,69,286
118,14,36,17,9,20,20,21,26,56,69,288
119,15,36,17,9,20,20,21,26,57,69,290
120,15,37,17,9,20,21,21,26,57,70,293
121,15,38,17,9,21,22,21,26,58,70,297
122,16,39,17,9,21,22,21,26,59,72,302
123,16,40,17,10,21,23,22,26,59,72,306
124,16,40,17,10,21,23,22,26,61,72,308
125,16,40,17,10,22,23,22,27,61,72,310
126,17,40,17,10,22,23,22,27,61,73,312
127,17,41,17,10,22,23,23,27,61,73,314
128,17,42,17,11,22,23,23,27,61,73,316
129,19,42,17,11,22,23,23,27,61,75,320
130,19,44,17,11,22,24,23,27,61,77,325
131,19,44,18,11,22,24,23,27,61,78,327
132,19,45,18,11,22,24,23,27,62,78,329
133,19,45,18,11,25,24,24,27,63,79,335
134,19,45,18,11,25,25,26,27,64,79,339
135,19,46,18,11,25,25,26,27,64,80,341
136,19,48,19,11,25,25,27,28,64,80,346
137,19,49,19,11,25,25,27,28,64,80,347
138,19,50,19,11,26,25,27,28,65,80,350
139,19,51,19,11,26,25,27,28,65,80,351
140,20,52,19,11,26,26,27,28,65,80,354
141,20,52,19,11,26,26,27,28,66,80,355
142,20,52,19,12,26,26,27,28,66,80,356
143,20,52,20,12,26,26,27,29,67,82,361
144,20,53,20,12,26,26,27,29,67,82,362
145,20,53,21,12,27,26,27,29,67,82,364
146,20,53,21,12,27,26,27,30,67,82,365
147,20,53,21,12,28,26,28,30,69,84,371
148,20,53,21,12,28,26,28,30,69,85,372
149,20,54,21,12,28,26,28,30,69,85,373
150,21,55,22,12,28,26,28,30,70,85,377
151,21,55,22,12,28,26,28,30,71,86,379
152,21,56,22,12,28,26,28,30,71,86,380
153,21,56,22,12,28,26,28,30,71,86,380
