,0,1,2,3,4,5,6,7,8,9,total
0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,2,1,3,1,5,6,23
2,2,2,2,1,2,1,3,1,6,6,26
3,2,2,2,1,2,1,3,1,6,6,26
4,2,2,2,1,2,1,3,1,7,6,27
5,2,2,2,1,2,1,4,1,7,7,29
6,2,2,2,1,2,1,4,1,7,8,30
7,2,2,2,1,2,1,4,2,7,8,31
8,2,2,2,1,2,2,4,2,7,10,34
9,2,2,2,1,2,2,4,2,7,10,34
10,3,2,2,1,2,2,4,2,7,10,35
11,3,2,2,2,2,2,4,3,7,11,38
12,3,2,2,2,2,3,4,3,8,11,40
13,3,2,2,2,2,3,4,3,8,11,40
14,3,2,2,2,2,3,4,3,8,11,40
15,3,3,3,2,2,3,4,3,8,11,42
16,3,3,3,2,2,3,4,3,8,11,42
17,3,3,3,2,2,3,4,3,8,11,42
18,3,3,3,2,2,3,4,3,8,11,42
19,3,3,3,2,2,3,4,4,8,11,43
20,3,3,3,2,3,3,4,4,8,11,44
21,3,3,3,2,3,3,4,4,8,11,44
22,3,3,3,2,3,3,4,4,8,11,44
23,3,3,3,2,3,3,4,4,8,11,44
24,3,3,3,2,3,3,4,4,8,11,44
25,3,3,3,2,3,3,4,4,8,11,44
26,3,3,3,2,3,3,4,4,8,11,44
27,3,3,3,2,3,3,4,4,8,11,44
28,3,3,3,2,3,3,4,4,9,11,45
29,3,3,3,2,3,3,4,5,9,11,46
30,3,3,4,2,3,3,4,5,9,11,47
31,3,3,4,2,3,4,4,5,9,11,48
32,3,3,4,2,3,4,4,5,9,11,48
33,3,3,4,2,3,4,4,5,9,11,48
34,3,3,4,2,3,4,4,5,9,11,48
35,3,3,4,2,3,4,4,5,10,11,49
36,3,4,5,2,3,4,4,5,10,11,51
37,3,4,5,2,3,4,4,6,10,12,53
38,3,4,5,2,3,4,4,6,11,12,54
39,3,4,5,2,3,4,4,6,11,12,54
40,3,4,5,2,3,4,5,6,11,13,56
41,3,4,5,2,3,4,5,7,11,13,57
42,3,4,5,2,3,4,5,7,11,13,57
43,3,4,5,2,3,4,6,7,11,13,58
44,3,4,5,2,3,4,6,7,11,13,58
45,3,4,5,2,3,4,6,7,11,14,59
46,3,4,5,2,3,5,7,8,11,14,62
47,3,4,5,3,3,5,7,9,11,14,64
48,3,4,5,3,3,5,7,9,12,14,65
49,3,4,6,3,3,5,7,9,12,15,67
50,3,4,6,3,4,5,7,10,12,16,70
51,3,4,6,3,4,5,7,10,12,16,70
52,3,4,6,3,4,5,7,10,12,16,70
53,3,4,6,3,4,6,7,10,13,17,73
54,3,4,6,3,4,6,7,10,13,18,74
55,3,4,6,3,4,6,7,10,13,19,75
56,3,4,6,3,4,6,7,10,13,21,77
57,3,5,6,3,4,6,7,10,14,21,79
58,3,5,6,4,4,6,9,10,14,21,82
59,3,5,6,4,4,7,10,10,15,21,85
60,3,6,6,4,4,7,10,10,15,21,86
61,3,6,6,4,4,7,10,10,15,22,87
62,3,6,6,4,4,7,10,11,15,22,88
63,3,6,6,4,4,7,10,11,16,22,89
64,3,7,6,4,4,7,10,11,16,23,91
65,3,7,6,4,4,7,10,11,17,25,94
66,4,7,6,4,4,7,10,11,17,25,95
67,4,7,6,4,4,7,10,11,17,25,95
68,4,7,7,4,4,7,10,11,18,25,97
69,4,7,7,4,4,7,10,11,18,25,97
70,4,7,8,4,4,7,10,11,18,26,99
71,5,7,8,4,4,7,10,11,19,27,102
72,5,7,8,4,4,7,10,11,20,27,103
73,5,7,8,4,4,7,10,11,20,28,104
74,5,7,8,4,4,7,10,11,20,28,104
75,5,8,8,4,4,7,10,11,20,28,105
76,6,10,8,4,4,7,10,11,20,30,110
77,6,10,8,4,4,7,10,11,20,31,111
78,6,11,8,4,4,7,10,11,20,31,112
79,6,11,8,4,4,7,10,11,20,31,112
80,6,11,8,4,4,7,10,11,21,31,113
81,6,11,8,4,4,7,10,11,21,31,113
82,6,11,8,4,4,7,10,11,22,31,114
83,6,11,8,4,4,7,11,11,22,32,116
84,6,11,8,4,4,7,11,11,22,33,117
85,6,11,8,4,4,7,11,11,22,33,117
86,8,11,8,4,5,7,11,11,22,33,120
87,8,11,8,4,5,9,12,11,23,33,124
88,8,12,8,4,5,10,13,11,23,33,127
89,8,12,8,4,5,10,13,11,23,33,127
90,8,13,8,4,5,10,13,11,23,33,128
91,8,13,8,4,5,10,13,11,24,33,129
92,8,14,8,4,5,10,13,12,24,33,131
93,8,14,8,4,5,10,13,12,24,34,132
94,8,14,8,4,5,10,13,12,25,35,134
95,8,16,9,5,6,10,13,12,25,35,139
96,8,16,10,5,6,10,13,12,26,35,141
97,8,16,10,5,6,10,14,12,27,36,144
98,8,16,10,5,6,10,14,12,27,36,144
99,8,16,10,5,6,10,14,12,27,36,144
100,8,16,10,5,7,10,14,12,27,36,145
101,9,16,10,5,7,10,14,13,28,37,149
102,9,17,10,5,7,10,14,13,28,37,150
103,9,17,10,5,7,10,14,13,28,37,150
104,9,17,11,5,7,11,14,13,28,37,152
105,9,17,11,5,7,11,14,13,28,37,152
106,9,17,11,5,7,11,14,13,29,37,153
107,9,17,11,5,7,11,14,13,29,37,153
108,9,17,11,5,7,11,15,13,29,37,154
109,9,17,11,5,7,11,15,13,29,37,154
110,9,17,11,5,7,11,15,13,29,38,155
111,9,17,12,5,7,11,15,13,29,38,156
112,9,17,12,5,7,11,15,13,29,38,156
113,10,17,12,5,7,12,15,13,30,38,159
114,10,17,12,5,7,12,15,13,30,38,159
115,10,17,12,5,7,12,15,13,30,38,159
116,10,17,12,5,7,12,15,13,30,38,159
117,10,18,12,5,7,12,15,13,30,38,160
118,10,18,12,5,7,12,15,13,30,38,160
119,10,18,12,5,7,12,15,13,30,38,160
120,10,18,12,5,7,12,15,13,30,38,160
121,12,18,12,5,7,12,15,13,30,38,162
122,12,19,12,5,7,12,15,13,30,39,164
123,13,19,12,5,8,12,15,13,31,39,167
124,13,19,13,5,8,12,15,13,31,40,169
125,13,20,13,5,8,12,15,13,32,41,172
126,13,20,13,5,9,12,15,13,32,41,173
127,13,20,13,5,9,13,16,13,32,42,176
128,13,21,13,5,9,13,16,13,33,42,178
129,13,21,13,5,9,13,16,13,34,42,179
130,13,21,13,5,9,13,16,13,35,42,180
131,13,22,13,5,9,14,16,13,36,42,183
132,13,22,13,6,9,14,16,13,36,42,184
133,13,22,13,6,9,14,16,13,36,42,184
134,13,22,13,6,9,14,16,13,37,42,185
135,13,23,13,6,9,14,16,13,37,43,187
136,13,23,14,6,9,14,16,13,37,44,189
137,13,24,14,6,9,14,16,13,37,45,191
138,13,24,14,6,9,14,16,13,37,46,192
139,13,24,14,6,9,14,16,13,37,46,192
140,13,24,14,6,9,14,16,14,37,46,193
141,13,24,14,6,9,14,16,14,37,46,193
142,13,24,14,6,9,14,16,14,37,47,194
143,13,25,14,6,9,14,16,14,37,47,195
144,13,25,14,6,9,14,16,15,38,48,198
145,13,25,14,6,9,14,16,15,39,48,199
146,13,25,14,6,9,14,16,16,39,48,200
147,14,25,14,6,9,14,16,16,39,48,201
148,14,26,14,6,9,14,16,16,40,49,204
149,15,26,14,6,10,14,16,16,40,49,206
150,15,26,14,6,10,15,16,16,40,49,207
151,15,27,14,6,10,15,16,17,41,51,212
152,15,27,14,6,10,15,16,17,41,53,214
153,15,27,14,6,10,15,16,18,41,53,215
