,0,1,2,3,4,5,6,7,8,9,total
0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,2,1,3,1,5,6,23
2,2,1,1,1,2,1,3,1,6,7,25
3,2,1,1,1,2,1,3,1,6,8,26
4,2,2,1,1,2,1,3,1,7,8,28
5,2,2,1,1,2,1,4,1,7,8,29
6,2,2,1,1,2,1,4,1,7,8,29
7,2,2,2,1,2,1,5,1,8,8,32
8,2,2,3,1,3,1,5,2,9,9,37
9,2,2,4,1,3,1,5,2,9,11,40
10,3,2,5,1,3,1,5,2,9,12,43
11,3,2,5,1,3,1,5,2,9,12,43
12,3,2,5,1,3,1,5,3,9,13,45
13,3,2,5,1,3,1,6,3,9,15,48
14,3,2,5,1,3,1,6,3,10,15,49
15,3,2,5,1,3,1,6,3,10,16,50
16,3,3,5,1,3,1,6,3,12,17,54
17,3,3,5,1,3,1,6,3,13,18,56
18,3,3,5,1,3,2,6,3,14,18,58
19,3,3,5,1,3,2,6,3,17,18,61
20,3,3,5,1,3,2,6,3,18,18,62
21,3,3,5,1,3,2,6,3,18,18,62
22,3,3,5,1,3,3,6,3,18,20,65
23,3,3,5,1,3,3,7,3,19,20,67
24,3,3,5,1,3,3,7,3,19,20,67
25,3,3,5,2,3,3,7,3,19,20,68
26,3,3,5,2,3,4,7,3,20,20,70
27,3,5,5,2,4,4,7,3,20,20,73
28,4,5,5,3,4,5,7,3,20,21,77
29,4,5,5,3,4,5,7,3,20,24,80
30,4,5,5,4,4,5,7,3,21,24,82
31,4,5,5,4,4,6,7,3,23,24,85
32,4,5,5,4,4,6,7,3,25,25,88
33,5,5,5,4,5,6,7,3,27,25,92
34,5,5,5,4,5,6,7,5,28,25,95
35,5,5,5,4,5,6,7,5,29,25,96
36,5,5,6,5,5,6,7,5,29,25,98
37,5,5,6,5,5,6,7,5,29,25,98
38,5,5,6,5,5,6,7,5,29,27,100
39,5,5,6,5,5,6,7,5,29,28,101
40,5,5,7,5,5,6,8,5,29,28,103
41,6,5,7,5,5,6,9,5,29,29,106
42,6,5,8,5,5,6,9,5,29,29,107
43,6,6,8,5,6,6,9,5,30,30,111
44,6,7,8,5,7,7,9,5,32,32,118
45,6,7,8,5,7,7,9,5,33,34,121
46,6,7,8,5,7,8,9,5,33,35,123
47,6,7,8,5,7,8,9,5,33,35,123
48,6,7,8,5,7,8,9,5,33,37,125
49,6,8,8,6,7,8,9,5,35,39,131
50,6,8,8,6,7,8,9,5,35,40,132
51,6,8,8,6,7,8,9,7,36,41,136
52,6,8,8,6,7,8,9,7,36,41,136
53,6,8,8,6,7,9,9,7,37,41,138
54,6,8,8,6,7,9,10,7,37,41,139
55,6,9,8,6,7,9,11,7,38,41,142
56,6,9,8,6,7,9,11,7,39,42,144
57,7,9,8,6,7,10,11,9,39,42,148
58,7,10,8,6,7,10,12,9,40,44,153
59,7,10,9,6,7,10,12,9,41,45,156
60,7,11,9,6,7,10,13,9,41,45,158
61,8,11,9,6,7,10,13,9,42,45,160
62,8,11,9,6,8,10,14,10,42,45,163
63,8,11,9,6,8,11,14,10,42,45,164
64,8,11,10,6,10,11,14,10,42,45,167
65,9,11,10,6,10,11,15,10,44,45,171
66,9,12,10,6,10,11,15,10,44,45,172
67,9,12,10,6,11,11,15,10,46,46,176
68,10,12,11,7,11,12,15,10,47,47,182
69,10,12,11,7,11,12,15,10,48,47,183
70,10,12,11,7,11,12,15,10,48,49,185
71,10,12,12,7,11,12,15,11,48,50,188
72,10,12,13,7,12,12,15,11,50,50,192
73,10,12,13,7,12,13,15,12,50,50,194
74,10,12,13,7,12,13,15,12,51,50,195
75,10,12,13,7,13,13,15,12,52,51,198
76,10,12,13,7,13,13,15,12,52,52,199
77,10,12,14,7,13,13,16,12,52,53,202
78,10,13,14,7,14,13,16,13,54,53,207
79,10,13,15,7,15,14,17,14,56,53,214
80,10,14,16,7,15,14,17,14,56,54,217
81,11,14,16,7,15,14,17,14,56,54,218
82,11,14,16,7,16,14,17,14,57,54,220
83,11,14,16,7,16,15,17,14,57,56,223
84,11,14,16,7,16,15,17,14,60,56,226
85,11,16,16,7,16,15,18,14,61,57,231
86,11,16,16,7,16,15,19,15,61,59,235
87,11,16,17,7,16,16,19,15,61,59,237
88,11,16,17,7,16,16,19,15,61,59,237
89,11,16,17,7,16,17,19,15,64,59,241
90,12,16,17,7,16,17,20,15,64,60,244
91,12,16,18,7,16,18,20,15,65,60,247
92,13,16,18,7,16,19,20,17,65,61,252
93,13,17,18,7,16,19,21,17,65,61,254
94,14,17,18,7,17,19,21,18,65,61,257
95,14,17,19,7,17,20,22,18,65,61,260
96,14,17,19,7,17,20,22,18,65,62,261
97,15,17,19,7,17,20,23,18,66,63,265
98,15,17,19,7,17,20,24,19,66,65,269
99,15,18,19,7,17,20,25,19,66,66,272
100,15,18,19,7,18,20,25,19,66,67,274
101,15,18,19,7,18,20,26,19,67,68,277
102,15,19,19,7,18,20,26,19,67,69,279
103,17,19,19,7,18,20,26,19,68,71,284
104,17,19,19,7,18,20,26,19,68,71,284
105,17,19,19,8,18,20,26,19,68,72,286
106,17,19,19,9,18,20,26,19,69,72,288
107,17,20,20,9,18,21,26,20,69,73,293
108,17,20,20,10,18,21,26,20,69,74,295
109,17,20,20,10,19,21,28,20,69,74,298
110,18,20,20,10,19,21,28,21,71,75,303
111,18,20,20,10,21,21,28,21,72,76,307
112,19,20,20,10,21,21,28,21,72,77,309
113,20,20,20,11,21,21,28,21,75,77,314
114,20,20,20,11,21,21,28,23,76,77,317
115,20,20,20,11,21,22,28,23,77,78,320
116,20,21,21,11,21,22,28,23,77,78,322
117,20,22,21,11,21,22,28,23,77,78,323
118,20,22,21,11,21,22,28,23,77,78,323
119,20,22,21,11,21,23,28,23,78,78,325
120,20,23,23,11,21,24,28,23,80,78,331
121,20,23,23,11,21,24,28,23,81,79,333
122,20,23,24,11,21,24,29,23,81,80,336
123,21,23,24,11,21,24,29,23,81,80,337
124,21,24,24,12,21,24,29,23,82,80,340
125,21,24,24,12,21,24,30,24,82,80,342
126,21,24,24,12,22,24,30,24,83,80,344
127,21,24,24,12,23,24,30,24,83,81,346
128,21,24,24,12,23,25,30,25,84,82,350
129,21,24,24,12,24,26,30,26,85,82,354
130,21,25,25,12,24,26,30,26,85,83,357
131,21,27,25,12,24,26,30,26,85,83,359
132,22,28,25,12,24,26,30,26,85,83,361
133,22,28,26,12,24,26,30,26,85,84,363
134,22,28,26,12,24,26,31,26,85,85,365
135,22,28,27,12,24,26,31,26,85,86,367
136,22,28,27,12,25,26,31,26,86,86,369
137,23,29,27,12,25,26,32,26,87,88,375
138,23,29,27,12,26,26,32,26,87,88,376
139,23,29,27,13,27,27,32,26,87,88,379
140,24,31,27,13,27,27,32,27,87,88,383
141,24,31,27,13,27,27,32,27,87,89,384
142,24,31,27,14,28,27,32,27,88,89,387
143,24,31,27,14,28,28,32,28,88,90,390
144,25,31,27,14,29,28,32,29,89,91,395
145,25,31,27,14,29,28,32,29,89,91,395
146,25,31,27,14,31,28,32,29,90,91,398
147,25,32,27,14,31,28,32,29,90,91,399
148,25,32,27,14,31,28,32,30,90,91,400
149,26,32,27,14,32,29,32,31,90,91,404
150,26,32,28,15,32,29,32,31,90,91,406
151,26,32,28,15,32,29,32,31,90,91,406
152,26,33,28,15,32,29,32,33,90,93,411
153,26,33,28,15,32,29,32,33,90,93,411
