,mutation_id,file,confidence,mutation_point_x,mutation_point_y,rel_intensity_before,rel_intensity_after
0,1,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN1.npy,0.9999765,,,0.0,0.0
1,2,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN2.npy,0.99997026,13.968362688897761,21.70045993159468,0.1617398098683326,0.0
2,3,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN3.npy,0.9999709,13.884819340957623,12.987499999999999,0.2893363959931563,0.1628580391407013
3,4,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN4.npy,0.9999702,13.925689897392015,17.25,0.26733340740175804,0.2934108376502991
4,5,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN5.npy,0.99995244,15.97170865281219,8.942656449096617,0.12493050167303474,0.04928147792816162
5,6,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN6.npy,0.9999445,14.03315527649719,13.471239444144011,0.2652655080789098,0.07652364671230316
6,7,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN7.npy,0.9996701,14.44340947010957,13.98781640693526,0.25461389608402407,0.23615986108779907
7,8,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN8.npy,0.99836624,13.960327178444999,17.20138809916693,0.24714761208521188,0.23607999086380005
8,9,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN9.npy,0.994385,14.35206829853248,16.681446718397233,0.2672111115941726,0.248581200838089
9,10,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN10.npy,0.99573606,13.662642879060702,8.4875,0.08006643253945879,0.2183113694190979
10,11,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN11.npy,0.9960485,15.365875388784655,14.448181847008048,0.20352938286205147,0.09162996709346771
11,12,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN12.npy,0.99587566,14.695879004876142,16.115746809271677,0.23931056590739194,0.19779926538467407
12,13,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN13.npy,0.9957868,15.0,25.0,0.24388119181828832,0.2353709489107132
13,14,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN14.npy,0.99446756,15.355625555152608,14.762862430301741,0.21361199385684193,0.24497884511947632
14,15,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN15.npy,0.99130833,14.708194495149211,16.06784863348059,0.2160768785230485,0.18160851299762726
15,16,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN16.npy,0.9928159,15.36700488506289,24.586556843620325,0.23261716967350418,0.20752404630184174
